abstract,author,title,year
"
					,
					One important but often overlooked aspect of human contexts of ubiquitous computing environment is human’s emotional status. And, there are no realistic and robust humancentric contents services so far, because there are few considers about combining context awareness computing with wearable computing for improving  suitability of contents to each user’s needs. In this paper, we discuss combining context awareness computing with wearable computing to develop more effective personalized services. And we propose new algorithms to develop efficiently personalized emotion based content service system. 
				","
							,
																				,
							,
																				","
		Combining Context-Awareness with Wearable Computing for Emotion-based Contents Service  
	",
"
					,
					 Unique characteristics of biological systems are described, and similarities are made to certain computing architectures. The security challenges posed by these characteristics are discussed. A method of securely isolating portions of a design using introspective capabilities of a fine-grain self-configurable device is presented. Experimental results are discussed, and plans for future work are given. 
				","
							,
																				,
							,
																				","
		Using Low-Level Architectural Features for Configuration InfoSec in a General-Purpose Self-Configurable System 
	",
"
					,
					This paper presents a multi objective approach to solve a Capacitated Vehicle Routing Problem with Time Windows (CVRPTW). The proposed model was implemented and tested in a real life problem of a distribution company “Just in Time Delivery S.A” in Portugal. In this paper we have considered an objective function with two main goals: the first is to minimize the total number of vehicles used in the distribution of the commodities to the several clients and  the second is to minimize the travelling time of the used vehicles. The proposed model has been solved numerically using the GLPK software and the optimal solution is presented.
				","
							,
																				,
							,
																				,
							,
															,
																				","
		A Multi Objective Approach to solve Capacitated Vehicle Routing Problems with Time Windows Using Mixed Integer Linear Programming 
	",
"
					,
					Network anomaly detection has been a hot topic in the past years. However, high false alarm rate, difficulties in obtaining exact clean data for the modeling of normal patterns and the deterioration of detection rate because of “unclean” training set always make it not as good as we expect. Therefore, we propose a novel data mining method for network anomaly detection in this paper. Experimental results on the well-known KDD Cup 1999 dataset demonstrate it can effectively detect anomalies with high true positives, low false positives as well as with high confidence than the state-of-the-art anomaly detection methods. Furthermore, even provided with not purely “clean” data (unclean data), the proposed method is still robust and effective. 
				","
							,
																				","
		An Effective TCM-KNN Scheme for High-Speed Network Anomaly Detection 
	",
"
					,
					This paper presents a 3D particle position measurement method based on the defocusing concept introduced by A.Pentland with a single camera. Different from the existing approaches, the blur circle is used to identify the blur extent for various defocused particles, and the depth-blur relation is formulated by the modified A.Pentland mathematical formula. And, an eight-step algorithm based on Circular Hough Transform and Quadrant Radius Histogram was given to calculate the 3D particle position. Experiments on real defocused particle images have demonstrated the feasibility of the proposed method for 3D particle position recovery, and the minimum Mean Absolute Error of depth is about 0.18 mm. 
				","
							,
																				,
							,
																				","
		3D Particle Position Measurement via the Defocusing Concept 
	",
"
					,
					Requirement elicitation is a critical activity in the requirement development process and it explores the requirements of stakeholders. The common challenges that analysts face during elicitation process are to ensure effective communication between analyst and the users. Mostly errors in the systems are due to poor communication between user and analyst. This paper proposes an improved approach for requirements elicitation using paper prototype. The paper progresses through an assessment of the new approach using student projects developed for various organizations. A case study project is explained in the paper. 
				","
							,
																				,
							,
																				","
		A New approach to Requirements Elicitation Using Paper Prototype 
	",
"
					,
					In this paper we presents the EPLS (Economic Production Lot Size) model which accounts for a production system producing perfect and imperfect quality items. Also, a single period multi-item volume flexible production model for deteriorating items with stochastic demand and stochastic imperfect production. Deterioration is taken as constant. Linear holding cost is considered. Shortages are permitted in inventory with partial backlogging. Profit maximization techniques are also used. The problem parameter effects upon the optimal solutions are examined numerically. 
				","
							,
																				,
							,
																				,
							,
																				","
		Economic Production Lot Size Model with Stochastic Demand and Shortage Partial Backlogging Rate under Imperfect Quality Items 
	",
"
					,
					Three types of rough equalities were introduced by Novotny and Pawlak ([1, 2, 3]), which take care of approximate equalities of sets. These sets may not be equal in the usual sense. These notions were generalized by Tripathy, Mitra and Ojha ([10]), who introduced the concepts of rough equivalences of sets. These approximate equalities of sets capture equality of the concerned sets at a higher level than their corresponding rough equalities. Some more properties were proved in [11]. In this paper, we introduce two other types of approximate equalities of sets, called the approximate rough equivalences and approximate rough equality. We study some properties of these four types of approximate equalities and analyse their relevance from the application point of view. 
				","
							,
																				","
		An Analysis of Approximate Equalities based on Rough Set Theory 
	",
"
					,
					Privacy is a pinnacle concern of the cloud database model known as “Database as a service (DaaS)”. DaaS is highly appreciated in business community because it saves hardware cost, cost of the technical people required to manage the database and it also saves the license cost of the database.  Moreover, it offers reliable services and people can access their data 24 x 7 from anywhere provided the internet connection is available. Despite of all these advantages enterprises are reluctant to adopt DaaS, because of two types of threats that are associated with it. Firstly, it can be attacked by the hacker and secondly the privacy of data can be compromised by the administrators, managing the cloud database environment. In this paper we have focused on the second issue and proposed a model to protect privacy of data stored in cloud databases. As per proposed model we encrypt and obfuscate data on client side before sending to the cloud database. In addition we offer mechanism to query over encrypted and obfuscated data on server side. Once the required data is filtered on server side, it is transferred on client side where the de-obfuscation and decryption is performed. Experiment results are also highlighted showing the enhancement in performance due to obfuscation factor. 
				","
							,
																				,
							,
																				","
		Efficient Cloud Data Confidentiality for DaaS 
	",
"
					,
					Surface roughness is an index which determines the quality of machined products and is influenced by the cutting parameters. In this study the average surface roughness Ra (value) for Aluminum after ball end milling operation has been measured. 84 experiments have been conducted varying cutter axis inclination angle (φ degree), spindle speed (S rpm), feed rate (fy mm/min), radial depth of cut (feed fx mm), axial depth of cut (t mm) in order to find Ra. This data has been divided into two sets on a random basis; 68 training data set and 16 testing data set. The training data set has been used to train different ANN and ANFIS models for Ra prediction. And testing data set has been used to validate the models. Better ANFIS model has been selected based on the minimum value of Root Mean Square Error (RMSE) which is constructed with three Gaussian membership functions (gaussmf) for each input variables and linear membership function for output. Similarly better ANN model has been selected based on the minimum value of Root Mean Square Error (RMSE) and Mean Absolute Percentage of Error (MAPE). The Selected ANFIS model has been compared with theoretical equation output, ANN and Response Surface Methodology (RSM). This comparison is done based on RMSE and MAPE. The comparison shows that selected ANFIS model gives better result for training and testing data. So, this ANFIS model can be used further for predicting surface roughness of Aluminum for three dimensional end milling operation. 
				","
							,
																				,
							,
																				","
		Artificial Intelligence Based Surface Roughness Prediction Modeling for Three Dimensional End Milling 
	",
"
					,
					Image deblurring refers to procedures that attempt to reduce the blur amount in a blurry image and grant the degraded image an overall sharpened appearance to obtain a clearer image. The point spread function (PSF) is one of the essential factors that needed to be calculated, since it will be employed with different types of deblurring algorithms. In this paper, the authors studied various fast deblurring techniques like Richardson – Lucy and its optimized version, Van Cittert and its enhanced version, Landweber, Poisson Map, and Laplacian sharpening filters. Furthermore, altered optimized versions of Landweber and Poisson Map algorithms have been presented. The usage of the PSF in the deblurring algorithm is explained and a comparison between the optimized, the enhanced algorithms and Laplacian sharpening filters in terms of the number of mathematical operations, number of iterations employed, computation time, deblurring in case of noise existence, and the accuracy measurement using peak signal to noise ratio (PSNR) for each technique is conducted.  
				","
							,
																				,
							,
																				,
							,
																				","
		A Comprehensive Study on Fast image Deblurring Techniques 
	",
"
					,
					As vehicular networks become popular and many vehicles want to access data through a roadside unit. In this paper, there was a vehicle to roadside communication and we propose scheduling schemes for efficient delivery of data packets in vehicular adhoc network. On the basis of priority scheduling algorithm vehicles can download/upload the data from RSU. In this paper we can control the congestion and delay of data by assigning the priorities to the message. The process with highest priority is executed first and highest priority is assign to those processes which have the smallest data size and this scheme is the smallest data size first scheduling(SDF) . If the two processes having the same data size then we can assign the priority on the basis of first come first serve scheduling (FCFS). We can combine these two algorithms and the new algorithm D*A. is introduced. This algorithm is responsible for only sending the commercial messages and the safety messages will be send on the different channel. The emergency messages will be sending through control channel with help of EDF scheduling. This paper increases the efficiency and throughput of the process and decreases the turnaround time for the process.  
				","
							,
																				,
							,
																				","
		A Method for Improving Data Delivery Efficiency in Vehicular Adhoc Networks 
	",
"
					,
					Given a list of n strings of length at most k, where l is length of the largest string. The object is to cover the strings by a minimal number of regular expressions r1, r2, r3………………..,rm for m≥1,such that  a) Every string in the database satisfies at least one ri and  b) Any string ‘X’ of length at most K satisfying r1+r2+r3+……………….+rm  is at a distance at most  p from a string ‘y’ in the database ,where ‘p’ is a prescribed constant parameter.We assume that the database is in the form of B+ tree. We start with leaf nodes and collection all the strings of maximum length in the database For identifying regular expressions in database the thesis aims at developing a procedure similar to that for Boolean formulas (in DNF or CNF), where the function values and don’t care term’s are specified. 
				","
							,
																				,
							,
																				,
							,
																				","
		The Efficient way to Identify the Regular Expression in Text Databases 
	",
"
					,
					Wireless sensor networks have emerged as a promising technology for a wide range of important applications. Energy conservation and prolonging the network lifetime are significant challenges in the design and implementation of wireless sensor networks. Clustering techniques have emerged as a popular choice for prolonging the lifetime of a wireless sensor network. In this paper, we propose a Two-Level Cluster based Protocol (TLCP) for wireless sensor networks to minimize the energy consumption and maximize the lifetime of wireless sensor networks. TLCP organizes sensor nodes into clusters and improves the data transmission mechanism from the cluster heads to the base station via constructing a cluster among the cluster heads. Simulation results show that our proposed protocol has better performance than LEACH and CBRP in terms of network lifetime, stability period, instability period, energy consumption and network throughput. 
				","
							,
																				,
							,
																				","
		A Two-Level Cluster based Routing Protocol for Wireless Sensor Networks 
	",
"
					,
					Modern large distributed Systems at wide scale have adopted new types of databases that are not subject to the features which ensure strong Consistency. In this paper, we discuss the CAP theorem, its evolution and its influence on these systems. After, we talk about the misunderstandings and problems aroused by this theorem. Finally, we give the updates on CAP brought by some researchers. 
				","
							,
																				,
							,
																				,
							,
																				","
		CAP Theorem between Claims and Misunderstandings: What is to be Sacrificed? 
	",
"
					,
					Sorting is a commonly used operation in computer science. In addition to its main job, sorting is often required to facilitate some other operation such as searching, merging and normalization. There are many sorting algorithm that are being used in practical life as well as in computation. A sorting algorithm consists of comparison, swap, and assignment operations. Bubble sort, selection sort and insertion sort are algorithms which are easy to comprehend but have the worst time complexity of O(n2). In this paper enhancement of the selection sort and the bubble sort by eliminating some useless comparisons is presented. A stack is used to store the locations of the past or local maximums, which can be used in later iterations of these algorithms. The insertion sort is improved by reducing shift operations with the aid of a double sized temporary array. The new algorithms are discussed, analyzed, tested and executed for benchmarking along with representing results. A significant improvement of well above 200% is achieved. 
				","
							,
																				","
		Enhancing Worst Sorting Algorithms 
	",
"
					,
					Clustering is one of the main techniques that are used to increase the scalability of MANETs, but without any security considerations clustering is prone to various security attacks. Some cryptographic-based schemes have been proposed to secure the clustering process, but they are unable to handle the internal attacks. Trust-based clustering schemes have combined the trust management systems with the existing state of art clustering solutions and using cryptographic mechanism these schemes present the most complex and secure clustering solutions that are resilient against both internal and external attackers. In this paper, we present an in-depth analysis of trust-based clustering schemes and illustrate how reputations are integrated in these schemes. Then we compare them based on the various trust metrics and finally conclude with open research issues. 
				","
							,
																				,
							,
																				","
		Reputation-Based Clustering Algorithms in Mobile Ad Hoc Networks 
	",
"
					,
					This paper presents, investigation on PQ based problems using DVR. Dynamic Voltage Restorer (DVR) is a series connected flexible AC Transmission System controller used to compensate PQ problems like voltage swells and sags. A DVR used to compensate deep PQ problems and harmonics. The control of DVR has been proposed by using dqo based Pseudoinverse and Magnitude Conversions transformation for mitigation of PQ problems in power systems. The proposed article explains the load flow dqo transformation algorithm working for mitigation of PQ problems and used for increase power quality in efficient. The control of DVR was achieved by using proposed algorithm. Here the device used to the load with negligible effect on PQ compensation capability. The high oriented graphical representations are facilitates and topology was modeled, simulated using MAT Lab/Sim power systems. 
				","
							,
																				","
		Load flow Pseudo-inverse and Magnitude Conversions for Mitigation of PQ Problems using DVR 
	",
"
					,
					Rapid growth of Internet and availability of user reviews on the web for any product has provided a need for an effective system to analyze the web reviews. Such reviews are useful to some extent, promising both the customers and product manufacturers. For any popular product, the number of reviews can be in hundreds or even thousands. This creates difficulty for a customer to analyze them and make important decisions on whether to purchase the product or to not. Mining such product reviews or opinions is termed as opinion mining which is broadly classified into two main categories namely facts and opinions. Though there are several approaches for opinion mining, there remains a challenge to decide on the recommendation provided by the system. In this paper, we analyze the basics of opinion mining, challenges, pros & cons of past opinion mining systems and provide some directions for the future research work, focusing on the challenges and issues. 
				","
							,
																				,
							,
																				,
							,
																				","
		Research Directions, Challenges and Issues in Opinion Mining 
	",
"
					,
					The rapid proliferation of mobile computing technology has massive potential for providing access to different services at any time and from anywhere. The mobile telephone is more than just making calls. It allows accessing several applications and services via the internet connection or by building stand-alone applications. The mobile telephone has a considerable effect in tourism by allowing the user to access the contents from Internet or from an install application over the mobile devices. The existing tourist guide applications use the latest technologies to enhance the application quality by satisfying the user’s requirements. These applications encounter great challenges because of limited mobile resources. Several development platforms for mobile applications are used to design tourist guide applications a caused to mobile devices incompatibility.  Some of these applications are designed using, for example, J2ME which represents an effective language for small and portable devices. But, the ideal platform, now, for this type of applications is Android, it is designed to improve efficiency and reduce resource consumption compared to J2ME. The most used technology is Java programming languages but Android is more powerful, flexible and Android phones have more functionality than J2ME phones. In this paper, we build electronic tourist guide systems using the two technologies to confirm the powerful of Android. For this reason, a comparison between the two systems is made. The applications are tailored to user preferences, so that the user can access the application from a simple interface or automatically; the information may be displayed according to GPS positioning system. The system is built to be a tourist guide for Jordan, but it is flexible and easy to be for any country. To do that, the administrator need to know the GPS coordinates of each point of interest, and then the desired information may be added to database. 
				","
							,
																				","
		Building Mobile Tourist Guide Applications using Different Development Mobile Platforms 
	",
"
					,
					Worldwide Interoperability for Microwave Access (WiMAX) and other broadband wireless technologies are associated with a variety of frequency spectrums. It is essential to identify optimal frequency spectrum for implementing a technologically sturdy and strong WiMAX network. This paper compares different frequency spectrums centering various parameters like path loss, interference factors, coverage area, data rate, mobility, etc. This paper particularly focuses on comparison of frequency spectrums in terms of path loss using dissimilar propagation models. Simulations are done separately in three different environments (Urban, Suburban and Rural). The simulation results are compared and analyzed to identify an optimal frequency spectrum in the three different environments. The study shows that 2.5GHz frequency band performs better than 3.5GHz frequency band for the same radio frequency conditions and environments. 
				","
							,
																				,
							,
																				,
							,
																				","
		Performance Evaluation of Different Frequency Bands of WiMAX and Their Selection Procedure 
	",
"
					,
					Cognitive radio has been demonstrated for improved spectrum utilization by secondary users in the presence of spectrum holes. In this paper, a Cognitive Radio (CR) network is implemented over the cooperative multihop wireless link. A multihop network is a collection of relay nodes within transmitter and receiver. A fixed infrastructure based multihop architecture is assumed for the performance analysis of energy detection algorithm for spectrum sensing in CR.  System performance estimation against channel impairments dominated by fading and shadowing effects is one of the prerequisite for performance analysis of such networks. An effort has been made for exact performance analysis of multihop wireless network over composite fading channels. The investigation lead to the findings i.e., for a given value of fading or shadowing parameter, the preferable detection probability is always dependent upon the optimum number of hops. Depending upon SNR a three- or five- hop link may perform better. For severe fading conditions, the one-hop link performs best.  
				","
							,
																				,
							,
																				,
							,
																				","
		Sensing Performance Evaluation over Multihop System with Composite Fading Channel 
	",
"
					,
					This paper outlines an experimental study that measures the effects of thermoplastic when added to concrete cement and needs of the ecological sector in terms of recycling the waste plastic that harms not only the soil structure and the environment as per say but as well as the human who without their knowledge damage their health because of the degradation of this product. The plastic was grounded into pieces for concrete mixture, where it substitutes the 5% of the fine aggregate, which is the sand. It then undergoes to strength test that investigate whether it can pass or at least equal the standard specification of concrete mix for wall panel. The experimentation went through moisture content test, specific gravity. test, slump test, sieve analysis, compressive test and flexural test. 
				","
							,
																				","
		Effect of Thermoplastic as Fine Aggregate to Concrete Mixture 
	",
"
					,
					K means algorithm is most popular partition based algorithm that is widely used in data clustering. A Lot of algorithms have been proposed for data clustering using K-Means algorithm due to its simplicity, efficiency and ease convergence. In spite this K-Means algorithm has some drawbacks like initial cluster centers, stuck in local optima etc. In this study, a new method is proposed to address the initial cluster centers problem in K-Means algorithm based on binary search technique. Binary search technique is a popular searching method that is used to find an item in given list of array. So in proposed method, the initial cluster centers have obtained using binary search property and after that K-Means algorithm is applied to gain optimal cluster centers in dataset. The performance of the proposed algorithm is tested on the two benchmark dataset which are downloaded from the UCI machine learning repository and compared with Random, Hartigan and Wang, Ward, Build, Astrhan and Minkowaski ward methods. The proposed method is also applied on the Minkowaski weighted K-Means algorithm to prove its significance and effectiveness. 
				","
							,
																				,
							,
																				","
		A New Initialization Method to Originate Initial Cluster Centers for K-Means Algorithm 
	",
"
					,
					 A viable design of an arm prosthesis system is presented. The design has addressed some existing challenges by adopting a fresh approach. The design is demonstrated by a simulation model. Dielectric Elastomers (DEs) are implemented into the model. That leads to higher reliability and user-friendliness, because the system contains fewer components. In addition, DEs have the desirable feature of being able to act similar to human muscles, and that makes their integration into human body easier than other technologies. An existing mathematical model of DE material is used to represent the bicep muscle. A set of operational parameters is selected in order to specify the design details. These details include geometric dimensions, forces, power, and control. The proposed design is promising with a displacement of 5 cm and a resisting force of 34 N in response to an applied voltage of only 23 kV. 
				","
							,
																				,
							,
																				,
							,
																				,
							,
																				","
		Viable Design of an Arm Prosthesis System
	",
"
					,
					Influence of dielectric materials as gate oxide on various short channel device parameters using a 2-D device simulator has been studied in this paper. It is found that the use of high-k dielectrics directly on the silicon wafer would degrade the performance. This degradation is mainly due to the fringing field effect developed from gate to source/drain. This fringing field will further generate electric field into the channel region from source/drain region which weakens the gate control. Therefore, by taking the gate stack engineering into account it  has been  shown that the induced  electric field along the channel  can be minimized as well as the device performance can be enhanced.  This paper examined  various  parameters of the device like potential distribution from source and drain, threshold voltage (Vth), drain induced barrier lowering (DIBL), subthreshold slope (SS), on-current (Ion), off-current (Ioff) and Transconductance (gm) by taking different dielectric materials [SiO2(  =3.9), Si3N4 (  =7.5), HfO2 (  =24) and Ta2O5 (  =50) ] as gate oxide (s). 
				","
							,
																				,
							,
																				,
							,
																				","
		Influence of High-k Gate Dielectric on Nanoscale DG-MOSFET 
	",
"
					,
					Software is a complex entity composed in various modules with varied range of defect occurrence possibility. Efficient and timely prediction of defect occurrence in software allows software project managers to effectively utilize people, cost, time for better quality assurance. The presence of defects in a software leads to a poor quality software and also responsible for the failure of a software project. Sometime it is not possible to identify the defects and fixing them at the time of development and it is required to handle such defects any time whenever they are noticed by the team members. So it is important to predict defect-prone software modules prior to deployment of software project in order to plan better maintenance strategy. Early knowledge of defect prone software module can also help to make efficient process improvement plan within justified period of time and cost. This can further lead to better software release as well as high customer satisfaction subsequently. Accurate measurement and prediction of defect is a crucial issue in any software because it is an indirect measurement and is based on several metrics. Therefore, instead of considering all the metrics, it would be more appropriate to find out a suitable set of metrics which are relevant and significant for prediction of defects in any software modules. This paper proposes a feature selection based Linear Twin Support Vector Machine (LSTSVM) model to predict defect prone software modules. F-score, a feature selection technique, is used to determine the significant metrics set which are prominently affecting the defect prediction in a software modules. The efficiency of predictive model could be enhanced with reduced metrics set obtained after feature selection and further used to identify defective modules in a given set of inputs. This paper evaluates the performance of proposed model and compares it against other existing machine learning models. The experiment has been performed on four PROMISE software engineering repository datasets. The experimental results indicate the effectiveness of the proposed feature selection based LSTSVM predictive model on the basis standard performance evaluation parameters. 
				","
							,
																				","
		A Feature Selection Based Model for Software Defect Prediction 
	",
"
					,
					In order to minimize traffic disturbance during the construction of flyover, the 450 tones pier head is turned 90 degrees. A device is used in Metro Manila Skyway Project in the Philippines. The Sosrobahu device is a hydraulic non friction rotating device; it is a flat jack with a diameter of 80 cm and place in the center of pier. The pier head is then cast over the pier parallel to road axis, oil is injected into the device until the force produced but the oil pressure nearly equals the weight of the pier head, then the pier head is turned 90 degrees. Oil pressure is then released and the gap injected with non-shrink grout. Four post-tensioned U cables of total ultimate capacity of 600 tones are then turned through the pier head and pier, post-tensioned and grouted. 
				","
							,
																				","
		Investigation on the Use of Sosrobahu Technology as Road Construction Technique 
	",
"
					,
					In order to reduce the loss in the circulation of agricultural products, and to reduce the total cost, this article minimizes the operation cost by establishing an objective function when designing the cold chain logistics distribution network. Considering the characteristics of the cold chain products, this paper regards construction cost of network nodes, transportation cost and damage cost as the main factors in establishing an objective function. As the cold chain logistics is correlated to the demand of service time, this article comes up with a concept of ""service radius"", which transformed the transportation time between logistics nodes into the service radius of logistic nodes. The model is verified through a series of constraint conditions to express the relationship between the various decision variables. An example is given in the end, which demonstrates the application of this model in a vegetable firm distribution logistics network planning. The final computation results illustrated that the model is effective. 
				","
							,
																				,
							,
																				,
							,
																				","
		Cold Chain Logistics Distribution Network Planning Subjected to Cost Constraints 
	",
