abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Sentiment polarity classification deals with automatic classification of text in sentiment polarity categories. While in most of proposed approaches for polarity classification, a dictionary containing polarity-based terms is considered. Such dictionaries are not readily available. We have adopted a machine learning based approach where classifiers are trained over a self-collected corpus of book reviews, annotated with sentimental categories. In this paper, we have presented our investigation of performance evaluation of machine learning classifiers. Five classifiers are evaluated including naïve Bayes, k-nearest neighborer, decision tree and support vector machine. Naïve Bayes has shown us best results.</em></div>
		<br>
		</div>","FAIZA SHAHZADI, TEHSEEN ZIA",An Empirical Study On Sentiment Polarity Classification Of Book Reviews
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Perinatal Mortality (perinatal death), is death of a neonate within 6 days (early neonatal mortality) or from 7 – 27 days of birth (late neonatal mortality). Food consumed by an expectant mother is said to have an impact on the pregnancy outcome apart from other factors.</em> <em>For the past few years, perinatal mortality rate has been increasing in developing and under-developed parts of the world. Two-thirds of the world’s perinatal deaths occur in only 10 countries, and Pakistan is ranked third amongst these countries. These deaths have not been studied widely, in fact they have been under-reported and these reports have not even been considered in any attempts made to improve birth outcomes in developing nations [1]. Nutritional, socioeconomic, demographic and health advice seeking behavior factors are responsible for higher mortality rates in countries such as Pakistan. Data mining and machine learning can be used to identify factors that are responsible for such high infant mortality rates as it is an important factor indicating progress on Millennium Development Goals. In this paper, we discuss how using ROCK we can cluster expectant mothers as per the food intake and identify major food items causing perinatal mortality.</em></p></div>
		<br>
		</div>","MARIA ABRAR1, HAMMAD QURESHI, MAHJABEEN KHAN",Associating Perinatal Mortality With Diet By Adapting Robust Clustering Using Links For Categorical Variables
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Artificial Intelligence (AI) has come out from science fiction movies and it is now enabling machines to behave like human experts. Computers have some advantages over human beings because of their immunity toward perturbation factors. These factors include fatigue, stress and diminished attention. This ability makes computers more efficient and reliable in decision making. The real goal of AI is to computerize human intelligence. In this paper we explored “Expert Systems” that is one of the most important branches of AI. In expert systems, we simulate expertise of domain experts in computer systems. Machines can work like doctors, engineers and consultants and can be able to learn and use their judgmental power to conclude the situations. In academia, many subjects are being offering in every degree programs. A course coordinator is an expert who allot related subject to instructors by using some factual and heuristic knowledge. The real task is to simulate the judgment ability that he obtained after many years of experience. We proposed an expert system that will stimulates the intelligence of course coordinator and will make reliable decisions. </em></div>
		<br>
		</div>","WAQAR AHMAD KHAN, MIRZA NASIR AHMED, MUHAMMAD TARIQ KHAN",Course Coordination In Academic Sector: An Expert System Foundation
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The Frequent use of emails as a communication mechanism  is observed in recent years. Now the emails are utilized in the marketing and advertisement of various products. The information design for the email advertisement is perhaps the less explored area. In this paper we have highlighted the role of email advertisements in marketing of the products. A process model for email advertisement is also proposed. The design guidelines for email advertisement are opted from various sources and proposed. The email advertisement design guidelines are categorized as the functional, administrative, aesthetic and cognitive guidelines. The email advertisement design guidelines can be utilized in the designing of emails based advertisements.</div>
		<br>
		</div>",UMER RASHID,INFORMATION DESIGN FOR EMAIL ADVERTISEMENTS
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In every field of life, people are interested to be able to forecast future.  A number of techniques are available to predict and forecasting upto a certain level of accuracy. Many techniques involve statistical tools and techniques for forecasting, modeling and control. Use of statistical techniques is growing with time and new techniques are being developed very rapidly. Especially in the field of economics and finance, the estimation and forecasting of economic and financial indicators play a vital role in decision making. Many models are developed in the last 2 decades to get better accuracy and efficiency in time series analysis and still there is a scope of learning and getting betterment in this field is available. In this research we have reviewed probability graphs, directed acyclic graphs, Bayesian networks, feature selection algorithms and Markov blankets for time series forecasting on the economic and financial problems (like stock exchange forecasting, multi-objective business risk analysis, consumers’ analysis, portfolio optimization, credit scoring etc). This is a new dimension for adaptive modeling techniques in economics and finance modeling.</div>
		<br>
		</div>","TAHSEEN AHMED JILANI, SYED ALI RAZA NAQVI",A REVIEW OF PROBABILISTIC GRAPH MODELS FOR FEATURE SELECTION WITH APPLICATIONS IN ECONOMIC AND FINANCIAL TIME SERIES FORECASTING
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Offshore Software Development Outsourcing (OSDO) is increasingly becoming the normal practice in the software industry. It offers a bundle of core benefits for client organizations which includes: high quality, fast and cost effective development of software products. However, OSDO possesses substantial risks and limitations during project management. To handle such problems Portfolio Cost Management (PCM) is used one of the best approaches. It is a set of centralized management of processes, methods and technologies used between client and vendor to reduce software costs and improve quality. We have performed a Systematic Literature Review (SLR) by applying customized search strings obtained from our research questions, along with the other SLR steps such as protocol development, initial publication selection, final publication selection, publication quality assessment, data extraction process and data synthesis. In this research, we explore 16 success factors of PCM to analyze the association between a client and vendor. It includes: ‘efficient cost estimation strategies’, ‘efficient project management’, ‘efficient knowledge sharing management’, ‘efficient software effort estimation’, ‘planning realistic goals’, and nine others. Furthermore, we analyze these factors based on different types of organizations, i.e. research and non-research. For best results in the software industry, it is proposed for vendor organizations to address the factors: ‘efficient cost estimation strategies’, ‘efficient project management’, ‘efficient knowledge sharing management’, ‘efficient software effort estimation’ and ‘planning realistic goals’.</div>
		<br>
		</div>","Salman Akbar, Sher Afzal Khan",PORTFOLIO COST MANAGEMENT IN THE CONTEXT OF OFFSHORE SOFTWARE DEVELOPMENT OUTSOURCING RELATIONSHIPS FROM VENDOR’S PERSPECTIVE
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Software development process is dynamic in nature and it has contrasting impact on software development based on Return on Investment (ROI). It plays an important role in successful software development and can also create difficulties during the software construction in terms of increasing effort, schedule and cost. Factors of changing requirements, prediction of requirement change and the strategies to deal with them are needed to be analyzed for better management of requirement change. Regardless of all research efforts based on requirement change, there is still a need to analyze the factors of requirement change from industrial evidences to minimize its negative impact on software development. The aim of study is to highlight main and sub causes of requirement change that can disrupt software development process.</div>
		<br>
		</div>","Ateeqa Naseer, Muhammad Shoaib Farooq",EXPLORING CAUSES OF REQUIREMENT CHANGE
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Behavior in social media is defined as the way users interact with each other. These interactions include: content creation and posting by individuals and sharing it with friends, re-sharing content shared by others, submit comments or just click on like on what is posted by friends. <br>The analysis of this behavior may allow us to predict the next actions that can make users and their influence on others. <br>The aim of our work is to analyze the behavior of users on Facebook. Analyzing the activities of these users and emphasizing the participation and the sharing of information are two important characteristics that will enable us to achieve our analysis. <br>In this paper we present a study conducted on a sample of 60 individuals of different age and sex. We used a survey that includes different activities which allowed us to obtain highly relevant information that tells us the nature of the activities of Internet users by gender and age group. </div>
		<br>
		</div>","Samir Akrouf, Djamel Boubetra, Larbi Selmani",Behavior Analysis of users on Facebook
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In view of application in smart visual surveillance systems this paper presents a new method of object detection and tracking in a surveillance scenario. The paper proposes robust object detection and tracking mechanism in which the background subtraction uses parallel processed Kernel Density Estimation (KDE) and the object tracking uses spatial color models of the detected object for tracking. The models of newly detected objects are stored in a reference list. Models of object detected in the next frame are compared with the reference models to track the object in the new frame. The spatial dimension introduced make the algorithm performs very well and fast. The system has been implemented both in indoor and outdoor environments and was found not only functionally okay but very computationally efficient in terms of processing time. The proposed system also is capable of detecting collision and object merging. One major areas the system contributes is the fast processing which is required by surveillance systems.</div>
		<br>
		</div>",Kolawole Akintola,Real-time Object Detection and Tracking for Video Surveillance
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Researcher have made vital and significant out comes in the field of Body Sensor Network (BSN) due to its central role in health monitoring system form last decade. Due to thin-skinned character of its data it desires to maintain confidential and magnify security challenge. Key association proposals have unusual interested in BSN because of small tiny nature and daily life usage of these electronic devices. The key role in safe and sound communication is key management practices. Confidentiality, authentication and integrity are achieved by applying key agreement and management methods. Accomplishment of key agreement in BSNs is very daunting task. In this paper we have presented a hybrid novel approach with rekeying for BSNs. Our scheme is based on symmetric and Elliptic curve cryptography. The existing key agreement schemes have lack of; security strength, scalability and some schemes take high computation cost and communication overhead. If only symmetric key scheme apply then scalability and security problems occur. And if only public key scheme apply then computation cost and key storage memory issues occur. Our proposed key agreement model is based on Elliptic curve and symmetric cryptography. We testify our results using NS 2.35. The proposed scheme reduces twenty seven to seventy four percent memory requirements for keys storage, fifty to eight four percent computation cost and twenty to sixty one percent communications overhead and also provides rekeying features.</div>
		<br>
		</div>","Eid Rehman, Muhammad Asad, Muhammad Sher",ECC and Symmetric based Hybrid Authenticated Key Agreement Implementation and Analysis for Body Sensor Networks
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Occluded Red Blood Cells are observed frequently in the thin blood smear digital images. Separating the occluded Red Blood Cells from the single Red Blood Cells and further the splitting of occluded Red Blood Cells into single Red Blood Cells is a challenging job in the computer assisted diagnosis of blood for any disorder in many diseases like Complete Blood Count Test, Anemia, Leukemia and Malaria etc. The mentioned problem is also highly laborious in manual microscopy for the hematologist. Many techniques currently existed for the solution but suffered from both under and over splitting problems when highly complex occlusions of Red Blood Cells occurred. Also the existed techniques are not computationally efficient. In this, paper we address the mentioned problems in realistic, efficient and automated way by considering the boundaries of the occluded Red Blood Cells through convex hulls to divide the boundaries on the basis of distance calculation in a very simple and efficient way split the occlusions according to the number of Red Blood Cells. Further, we draw lines using Digital differential analyzer graphics line drawing algorithm at the two respective end points to give cuts to split the occluded Red Blood Cell. The test results of the proposed technique using standard online data set of thin blood smear digital images (provided by Centers of diseases Control and prevention, USA) are presented in this paper by qualitatively analysis through ground truth with visual inspection.</div>
		<br>
		</div>",Naveed Abbas,OCCLUDED RED BLOOD CELLS SPLITTING VIA BOUNDARIES ANALYSIS AND LINES DRAWING IN MICROSCOPIC THIN BLOOD SMEAR DIGITAL IMAGES
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>ICT4D is an emerging research field where researchers from multiple domains try to support human beings by improving their life. Lack of experienced teachers and limited educational infrastructure is a major issue with low literacy rate among developing countries. In this paper, we describe the design and development of e-learning software based on augmented reality. This prototype provides an interactive, informative and fun learning environment by embedding a graphical visualization generated by the computer using real world coordinates. This enhances a person’s ability to understand the surroundings better, by providing an overlay of information on real world patterns.The system will help students to interact with different objects and thus making learning fun. The availability of such systems in schools in developing countries enables teachers to motivate school going children to better learn about objects. As a next step we plan to roll out this prototype amongst school children and to understand the effectiveness of this system.</em><br>   </div>
		<br>
		</div>","HAMMAD ABDULLAH, HARIS ALI KHAN, RIZWAN AAMIR",Supporting Learning Among Children Using Augmented Reality
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Hardware-In-The-Loop (HIL) simulation has an important role on rapid prototyping and developing control software for various application areas.  Having deterministic time response and high computational power, a personal computer (PC) with a real-time operating system is an efficient platform solution for HIL simulation needs. Fast development time and cost efficiency of simulation platform are other important issues for reduction of total production lead time and overall cost. In this paper; taking into consideration all these aforementioned aspects, we propose a HIL simulation software framework for PC target. Building a MATLAB/Simulink diagram and using available device drivers, an ordinary user can develop and execute HIL simulation of his/her controller.  The proposed framework is developed for PC platforms that have Linux Xenomai real-time operating system infrastructure. The framework contains a Simulink Xenomai target control module, a Graphical User Interface (GUI) and a Simulink device driver library. Also, to illustrate the performance and feasibility of the proposed framework, a Xenomai real-time driver model (RTDM) based driver for Quanser Q8 data acquisition board has been implemented. Experiments performed on servo control of a two degree of freedom (DOF) robot illustrated that proposed framework meets hard real-time requirements</em></p></div>
		<br>
		</div>",Egemen Cumhur Kaleli,LINUX-XENOMAI TARGET: A REAL-TIME  HARDWARE-IN-THE-LOOP SIMULATION  FRAMEWORK BASED ON SIMULINK
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Petri net formalism has dynamics and it is well suited for distributed or concurrent systems. However, it has a graphical representation in the form of a bipartite graph through which the type of data cannot be identified. This paper presents the Z specification of the net structure of place transition nets to provide the data semantics of graphical structure. This paper further addresses the Z specification of special sub classes of Petri nets, which include state machine, marked graphs and free choice nets.</em></p></div>
		<br>
		</div>","Zaheer Ahmad, Farooq Ahmad, Mudasser Naseer",TOWARDS Z SPECIFICATION OF PLACE TRANSITION NETS
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Traveling salesperson problem-TSP problem is an optimization problem to find the optimal way for the traveling salesman who wants to visit several cities, and returned to the original departure city. TSP is a difficult problem when viewed from the point of computing. Several methods have been used to solve these problems but until now not been found mangkus algorithms to solve them. The </em><em>easiest way to solve TSP is to try all possible routes and find the optimal route. However, at the time of the very practical now required to complete an algorithm that quickly so that the TSP solution obtained near optimal solutions. shortest distance in post package delivery from Post Office Lhoksumawe is very important </em><em>due to; hard terrain, traffic, etc. Therefore, the use of TSP to determine the shortest distance is very crucial.</em></p></div>
		<br>
		</div>",Richki Hardi,The Use Of Tsp For The Application Of Pos Indonesia Delivery Service
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The practice of retrieving and recommending Learning Objects (LOs) to the learners according to their specific needs and requirements has been a very active research area in e-learning. This paper proposes the design and development of a context-aware methodology that comprises a Learning Object Repository (LOR), context-aware recommendation engine and a user-friendly interface.  The existing approaches in this regard focus on learners’ ratings, history, behavior and interests, rather ignored the knowledge gain and learning outcomes by the learners. The paper contributes in the research in threefold manner. First, a comparative survey of existing research in this area is presented. Secondly, the design and development of context-aware methodology for recommending LOs to the learners is proposed. Third contribution of the research is a mapping algorithm. Finally, it provides directions for the future research in this area.</div>
		<br>
		</div>","Shaina Raza, Syed Raza Bashir, Muhammad Tahir Hameed, Muhammad Jawwad Zaheer",Design And Development Of Context-Aware Recommendation Strategy For E-Learning
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>In this paper, the performance of Network Coded (NC) based cooperative network for various relay location over Rayleigh fading channels is studied. Comparisons of Amplify and Forward (AAF), Detect and Forward (DTF) and Decode and forward (DCF) protocols for the proposed system are shown. The performance of relays in AAF, DTF and DCF is analyzed in terms of bit error rate (BER) vs signal to noise ratio (SNR). Matlab is used to build Monte-Carlo link level simulation. The effect of relays at different position is studied.</em></div>
		<br>
		</div>","Salman Saleem, Attaur Rahman, Salman khan, Imran Khan",Comparison of Cooperative Diversity Protocols in Various Relay Locations through Network Coding
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>This paper aims to develop an android application for android operating system (OS) platform that automatically send the current address location of the user to the server database and can also be sent periodically through SMS (short message services) to store mobile numbers by the user. Location of mobile device is in the form of latitude and longitude which is converted into full address by this application that includes country/state, city, and street number. In case of emergency the user can simply press the emergency button and the application will automatically send SMS alert including location address to the store mobile numbers that might be a police station or close relative. Another way to trace the user is the web server database which keeps updating the location address as long as the application is connected or last location address. The design shows how to implement and develop this app and has been tested on few mobile devices it well be tested on huge number of mobile devices later.</em></p><p> </p></div>
		<br>
		</div>","Salman Khan, Waheed Ahmad, Riaz Ali, Salman Saleem, Salman Saleem",A Research on Mobile Applications for Location Tracking through Web Server and Short Messages Services (SMS)
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this research, we extended our existing work by applying the concept of strong mobility of mobile agent to make service oriented systems. Initially, an algorithm is developed on the model, based on strong mobility between the clients and server using mobile agent technology via VSAT (very small aperture technology). Where clients are deployed in critical regions which calculate flood discharge based on speed of flood. The proposed algorithm has been verified through the mobile Petri net, a formal language, which is used to formalize it. Reachability tree method of analysis is adopted to verify this model. For practical implementation, a critical area ‘Kalabagh’ is selected and a Java based system is developed of this model. The system is verified by using the historical data values of this critical area and the results verify the model.</div>
		<br>
		</div>","Rao Sohail Iqbal, Shakeel Ahmad, Sher Afzal Khan",A Mobile-Agent Environment for Service Oriented System using Strong Mobility
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Text detection in image is an important field. Reading text is challenging because of the variations in images. Text detection is useful for many navigational purposes e.g. text on google API’s and traffic panels etc. This paper analyzes the work done on text detection by many researchers and critically evaluates the techniques designed for text detection and states the limitation of each approach. We have integrated the work of many researchers for getting a brief over view of multiple available techniques and their strengths and limitations are also discussed to give readers a clear picture. The major dataset discussed in all these papers are ICDAR 2003, 2005, 2011, 2013 and SVT(street view text). </em></div>
		<br>
		</div>","Sana Ali, Khalid Iqbal, Saira Khan, Rehan Tariq, Qazi Zohaib Aqil",A Review on Text Detection Techniques
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Driverless vehicles are on the move to announcement by Google, which drove more than 500,000 miles on its original model vehicles and further key automakers specify the prospective enlargement in this region with the capability to convert the transportation infrastructure, enlarge access and convey settlement to variety of user. A few users address the anticipated unfinished convenience of self directed cars by 2020 with accessibility to the community by 2040</em>.<em>Certain trust that self-directed car make necessary to renovate the modern transportation that fundamentally removing coincidences andcleaning uptheroadenvironment.Thisstudyunderstandstheeffectsthat self- driving car orroboticvehicletravel demandsandride schemeislikelytohave,without thetypicalobstaclesthatallowsdetectionof vision basedhardwareandsoftware constructionof SDC (self-directed car) technologyandGold(GenericObstacleLaneDetection) toa knowledge-basedsystemtoexpectthepotentialandconsidertheshape,color, balancein organizedenvironmentwithcoloredlane patternswhichisimplemented by a particlefilter. Thealgorithm is implemented andtestingwereapprovedonroadsandthe consequences show the strength ofthe algorithm to the problemnatural in road location.</em><em>Driverless vehicles are on the move to announcement by Google, which drove more than 500,000 miles on its original model vehicles and further key automakers specify the prospective enlargement in this region with the capability to convert the transportation infrastructure, enlarge access and convey settlement to variety of user. A few users address the anticipated unfinished convenience of self directed cars by 2020 with accessibility to the community by 2040</em>.<em>Certain trust that self-directed car make necessary to renovate the modern transportation that fundamentally removing coincidences andcleaning uptheroadenvironment.Thisstudyunderstandstheeffectsthat self- driving car orroboticvehicletravel demandsandride schemeislikelytohave,without thetypicalobstaclesthatallowsdetectionof vision basedhardwareandsoftware constructionof SDC (self-directed car) technologyandGold(GenericObstacleLaneDetection) toa knowledge-basedsystemtoexpectthepotentialandconsidertheshape,color, balancein organizedenvironmentwithcoloredlane patternswhichisimplemented by a particlefilter. Thealgorithm is implemented andtestingwereapprovedonroadsandthe consequences show the strength ofthe algorithm to the problemnatural in road location.</em></div>
		<br>
		</div>","Rameez Ahmad, Imran Khan et. al.,",Improving Ability and Lane Detection of Self-Directed-Car
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Pakistan sign language (PSL) is one of the sign languages of the world used by the Pakistani deaf community. Unfortunately, PSL has developed over the years without any greater attention from the state institutions. Most of the efforts for the development of PSL are done at the individual or group level, which is mostly   impressed by regional or traditional norms. That’s why, the learning and teaching PSL is being done in various regions as per their developed version of PSL. A communications barrier occurs when the deaf of two different regions interact with each other as they are trained on their own version of PSL. Another major problem is related to the communication with normal people. The normal people in our society are completely unaware from the signs/gestures of PSL. This communication barrier seizes the basic right of communication between a deaf and a normal. Our contribution in this regard is actually two tiers. First, to the best of our knowledge, we have tried to combine all the efforts made for the development of PSL till date. Second, as a computer vision researcher, we have tried to analyze all the imaging systems developed to aid deaf to deaf and deaf to normal communication of PSL. We are hopeful that this effort will surely help to develop the systems for reducing gap between deaf to deaf, deaf to normal and Pakistan deaf to any other deaf communication.</em></div>
		<br>
		</div>","Bilal Hassan, Muhammad Shoaib Farooq, Adnan Abid, Nabeel Sabir",Pakistan Sign Language: Computer Vision Analysis & Recommendations
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Wireless sensor network is widely used around us, which makes a great contribution to our daily life. In order to use such peculiar network well, security aspect should be taken into consideration, especially in some vital areas such as military field. Code image dissemination is one of the most important functions in wireless sensor network, so ensuring the security of this process is profound. Thus, in this paper, we first introduce the basic concepts of wireless sensor network and its security issue in code image dissemination. Threats and vulnerabilities of code image dissemination are pointed out to illustrate why attentions should be paid to this process. Then we describe the major code image dissemination protocols. These protocols are often used to disseminate code image in wireless sensor network, and they contain some common techniques. Thus, according to these features, we give the six most important techniques used in this area and illustrate how to use these methods to prevent the network from attacks. Moreover, we also give some open research issues in this direction, which could act as a guide for the latter scholars.</em></div>
		<br>
		</div>","Depeng Chen, Daojing He, Farooq Ahmad",A SURVEY OF REPROGRAMMING SECURITY IN WIRELESS SENSOR NETWORK
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Network anomaly detection is an effective way to detect intrusions which defends our computer systems or network from attackers on the Internet. In this paper, we introduce the current research works in network anomaly detection and consider serveral pratical solutions for this issue. Different from signature-based method, data mining techniques can automatically extract normal pattern from a large set of network data and distinguish them from each other. However, those data mining techniques, such as classification, clustering, association rules and feature selection, can not be applied into this problem directly due to the characteristic of network data and technique themseleves. We analyze those unfitness and propose some adaptation to detect anomaly timely and accurately.</em></div>
		<br>
		</div>","Xiejun Ni, Daojing He, Farooq Ahmad",PRACTICAL NETWORK ANOMALY DETECTION USING DATA MINING TECHNIQUES
