abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Agriculture and industrialization has been generally accepted as the surest and most direct route to economic development of any country like Nigeria. Their potentials, if properly harnessed, has the capacity to grow a Nation income. In this paper, we investigated the impact of agriculture and industry on GDP in Nigeria. To achieve this, we employed the log transform data on Agriculture, industry and GDP from 1960 to 2011 extracted from the CBN website. The ADF test for stationarity was carried out for GDP, agriculture and industry, the result revealed stationarity of the series at 1% level of significance. Thereafter we model the time series using VAR and SVAR models. The results from the VAR model revealed that agriculture contributed about 58% to GDP while industry contributed about 32% to GDP in Nigeria. The study further revealed from the SVAR models that agriculture and industry contributed to the structural innovations of GDP in Nigeria but more contribution resulting from agriculture. The work therefore recommended that special incentive should be given to farmer and infrastructural facilities should be provided. While new approaches should be vigorously and honestly pursued by the Nigerian government in order to restore the glory of the industrial sector in Nigeria.</div>
		<br>
		</div>","Author(s): M. O Adenomon, B. A Oyejola",Title: Impact of Agriculture and Industrialization on GDP in Nigeria: Evidence from VAR and SVAR Models
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The goal of this paper is to establish weak and strong convergence theorems of an implicit iteration process with errors to converge to common fixed points for a finite family of uniformly $L$-Lipschitzian total asymptotically pseudo-contractive mappings in the framework of Banach spaces. Our results extend the corresponding result of [2.5.8.10] and many others.<br></div>
		<br>
		</div>",Author(s): G.S. Saluja,Title: Convergence Theorems of an Implicit Iterates with Errors for Total Asymptotically Pseudo-Contractive Mappings
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we  prove a common fixed pointtheorem for two multivalued self-mappings  in complete metric spaces.<br></div>
		<br>
		</div>","Author(s): J.Maria Joseph, E. Ramganesh",Title: Fixed Point Theorem on Multi-valued Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>For several decades, the Economic Order Quantity (EOQ) model and its variations have received much attention from researchers. Recently, there has been an investigation into an EOQ model incorporating effect of units lost due to deterioration in infinite planning horizon with crisp decision environment. Accounting for holding and ordering cost, as has traditionally been the case of modeling inventory systems in fuzzy environment are investigated which are not precisely known and defined on a bounded interval of real numbers. The question is how reliable are the EOQ models when items stocked deteriorate one time. This paper introduces Fuzzy Economic Order Quantity (FEOQ) model in which it assumes that units lost due to deterioration is included in the objective function to properly model the problem in finite planning horizon. The numerical analysis shows that an appropriate fuzzy policy can benefit the retailer and that is significant, especially for deteriorating items is shown to be superior to that of crisp decision making. A computational algorithm using LINGO 13.0 and MATLAB (R2009a) software are developed to find the optimal solution. Sensitivity analysis of the optimal solution is also studied and managerial insights are drawn which shows the influence of key model parameters.<br></div>
		<br>
		</div>",Author(s): M. Pattnaik,Title: The Effect of Units Lost Due to Deterioration in Fuzzy Economic Order Quantity (FEOQ) Model
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Making use a linear operator, which is defined here by means of the Hadamard product (or convolution), involving the Wright’s generalized hypergeometric function , we introduce two novel subclassesP p(q,s,α1;A,B,λ) andP+p(q,s,α1;A,B,λ) of meromorphically multivalent functions oforder λ(0 ≤ λ &lt; p) in the punctured disc U∗. In this paper we investigate the various important properties and characteristics of these subclasses of meromorphically multivalent functions. We extend the familiar concept of neighborhoods of analytic functions to these subclasses of meromorphically multivalent functions . We also derive many interesting results for the Hadamard products of functions belonging to the classP+p(q,s,α1;A,B,λ).<br></div>
		<br>
		</div>","Author(s): G. Murugusundaramoorthy, M.K. Aouf",Title: Families of Meromorphic Multivalent Functions Associated with the Dziok-Raina Operator
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Two-point fuzzy Ostrowski type inequalities are proved for fuzzy Hölder and fuzzy differentiable functions. The two-point fuzzy Ostrowski type inequality for M-lipshitzian mappings is also obtained. It is proved that only the two-point fuzzy Ostrowski type inequality for M-lipshitzian mappings is sharp and as a consequence generalize the two-point fuzzy Ostrowski type inequalities obtained for fuzzy differentiable functions.<br></div>
		<br>
		</div>","Author(s): Muhammad Amer Latif, Sabir Hussain",Title: Two-Point Fuzzy Ostrowski Type Inequalities
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article we introduce a new concept of fixed point that is fixed point of order 2 on G-metric space and some results are achieved.</div>
		<br>
		</div>",Author(s): Animesh Gupta,Title: Fixed Point of Order 2 on G-Metric Space
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we consider an impulsive stochastic model for an investment with production and saving profiles. The conditions for financial growth for the investment are investigated under impulsive action and results are obtained using the quantitative and Ep stability methods. The impulsive stochastic differential equation considered is assumed to be driven by a process with jump and non-linear gestation properties. One of the results established shows that, in the long run, it is impossible for a financial investment to grow or dominates the prescribed average financial investment but has a threshold value for which the investment cannot grow beyond. It is also established that an $E^{p}-$ stable investment vector can be found which allows financial growth but this vector must be constrained to be in a given invariant set:It is advisable for the saving and depreciation to satisfy certain growth rates for proper income and investment growths.<br></div>
		<br>
		</div>","Author(s): Benjamin Oyediran Oyelami, Sam Olatunji Ale",Title: Application of E^p-Stability to Impulsive Financial Model
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we study the complex oscillation of solutions and their derivatives of the differential equation</p> <p>F’’+ A(z)f’+ B (z)f = F (z),</p> <p>where A(z),B (z) and F (z) are meromorphic functions of finite iterated p-order in the unit disc ∆ = {z : |z| &lt; 1}.</p></div>
		<br>
		</div>","Author(s): Zinelaâbidine Latreuch, Benharrat BELAIDI",Title: Complex Oscillation of Solutions and Their Derivatives of Non-homogenous Linear Differential Equations in the Unit Disc
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we present generalized identities involving common factors of generalized Fibonacci, Jacobsthal and jacobsthal-Lucas numbers. Binet’s formula will employ to obtain the identities.</p></div>
		<br>
		</div>","Author(s): Yashwant K. Panwar, Bijendra Singh, V. K. Gupta","Title: Generalized Identities Involving Common Factors of Generalized Fibonacci, Jacobsthal and Jacobsthal-Lucas Numbers"
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We investigate the value distribution and uniqueness problems of difference polynomials of entire and meromorphic functions.</div>
		<br>
		</div>","Author(s): Subhas S. Bhoosnurmath, Smita R Kabbur",Title: Value Distribution and Uniqueness Theorems for Difference of Entire and Meromorphic Functions
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We recall some of our earlier results on the construction of a mapping defined implicitly, without using the implicit function theorem. All these considerations work in the real case, for functions and operators. Then we consider the complex case, proving the analyticity of the function defined implicitly, under certain hypothesis. Some consequences are given. An approximating formula for the analytic form of the solution is also given. Finally, one illustrates the preceding results by an application to a concrete functional and operatorial equation. Some related examples are given.</div>
		<br>
		</div>",Author(s): Octav Olteanu,Title: Analytic Solutions of Special Functional Equations
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this note a theorem on the degree of approximation of a function by (C,1)(E,q) means of its Fourier-Laguerre series at the frontier point x = 0 is proved.</p></div>
		<br>
		</div>",Author(s): Xhevat Z. Krasniqi,"Title: On the Degree of Approximation of a Function by (C,1)(E,q) Means of Its Fourier-Laguerre Series"
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper the concept of fuzzy Non-Linear Programming Technique is applied to solve an economic order quantity (EOQ) model under restricted space. Since various types of uncertainties and imprecision are inherent in real inventory problems they are classically modeled using the approaches from the probability theory. However, there are uncertainties that cannot be appropriately treated by usual probabilistic models. The questions how to define inventory optimization tasks in such environment how to interpret optimal solutions arise. This paper allows the modification of the Single item EOQ model in presence of fuzzy decision making process where demand is related to the unit price and the setup cost varies with the quantity produced/Purchased. This paper considers the modification of objective function and storage area in the presence of imprecisely estimated parameters. The model is developed for the problem by employing different modeling approaches over an infinite planning horizon. It incorporates all concepts of a fuzzy arithmetic approach, the quantity ordered and the demand per unit compares both fuzzy non linear and other models. Investigation of the properties of an optimal solution allows developing an algorithm whose validity is illustrated through an example problem and ugh MATLAB (R2009a) version software, the two and three dimensional diagrams are represented to the application. Sensitivity analysis of the optimal solution is also studied with respect to changes in different parameter values and to draw managerial insights of the decision problem.<br></div>
		<br>
		</div>",Author(s): M. Pattnaik,Title: Optimal Decision-Making in Fuzzy Economic Order Quantity (EOQ) Model under Restricted Space: A Non-Linear Programming Approach
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper four self-reciprocal integral transformations of Hankel type are defined. The simultaneous use of trans-formations H1,α,β and H2,α,β (which are denoted by Hα,β) allows us to solve many problems of Mathematical Physics involving the differential operator ∆α,β= D2+4αx−1D, whereas the pair of transformations H3,α,β and H4,α,β (which we express by Hα,β) permits us to tackle those problems containing its adjoint operator, no matter what the real value of α − β be. These transformations are also investigated in a space of generalized functions according to the mixed Parseval equation.</div>
		<br>
		</div>","Author(s): B.B. Waphare, S.B. Gunjal",Title: The Complementary Hankel Type Transformations Of Arbitrary Order
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we introduce the concept of a tripled coincidence point for a pair of nonlinear contractive mappings <em>F</em> : <em>X</em><sup>3</sup> → <em>X</em> and <em>g</em> : <em>X</em> → <em>X</em> in partially ordered 0-complete partial metric spaces and obtain existence and uniqueness theorems. Our results generalize, extend, unify and complement recent tripled coincidence point theorems established by Marin Borcut, Vasile Berinde [M. Borcut, V. Berinde, Tripled coincidence theorems for contractive type mappings in partially ordered metric spaces, Applied Mathematical and Computation 218 (2012) 5929-5935], Marin Borcut [M. Borcut, Tripled coincidence theorems for contractive type mappings in partially ordered metric spaces, Applied Mathematical and Computation 218 (2012) 7339-7346], Hassen Aydi, Erdal Karapinar, Mihail Postolache [H. Aydi, E. Karapinar, M. Postolache, Tripled coincidence point theorems for weak ϕ−contractions in partially ordered metric spaces, Fixed Point Theory and Applications 2012, 2012:44, doi: 10.1186/1687-1812-2012-44] and Binayak S. Choudhury, Erdal Karapinar and Amaresh Kundu [B. Choudhury, E. Karapinar, A. Kundu, Tripled coincidence point theorems for nonlinear contractions in partially ordered metric spaces, International Journal of Mathematics and Mathematical Sciences,2012, in press]. Examples to support our new results are given.<br></div>
		<br>
		</div>",Author(s): Vesna Cojbasic Rajic,Title: Tripled Coincidence Points of Mappings in Partially Ordered 0-Complete Partial Metric Spaces
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In present paper, we define expansive mappings in 2-Banach space and prove some common unique fixed point theorems which are the extension of results of Wang et al. [12] and Rhoades [9] in 2-Banach space.<br></div>
		<br>
		</div>","Author(s): Prabha Chouhan, Neeraj Malviya",Title: Fixed Points of Expansive Type Mappings in 2-Banach Spaces
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>An analysis is made to study the effects of diffusion-thermo and chemical reaction on fully developed laminar MHD flow of electrically conducting viscous incompressible fluid in a vertical channel formed by two vertical parallel plates was taken into consideration with uniform temperature and concentration. The analytical solution by Laplace transform technique of partial differential equations is used to obtain the expressions for the velocity, temperature and concentration. It is interesting to note that during the course of computation, the transient solution at large time coincides with steady state solution derived separately and the diffusion-thermo effect creates an anomalous situation in temperature and velocity profiles for small Prandtl numbers. The study is restricted to only destructive reaction and non-conducting case cannot be derived as a particular case still it is quite interesting and more realistic than the earlier one.</div>
		<br>
		</div>",Author(s): R. N. Barik,Title: Free Convection Heat and Mass Transfer MHD Flow in a Vertical Channel in the Presence of Chemical Reaction
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we derive sufficient conditions for the existence of heteroclinic solutions to fourth order Φ−Laplacian dynamical equation on infinite time scales by using variational approach as minimizers of an action functional on special functional space. And also, as an application we demonstrate our result with an example.</div>
		<br>
		</div>","Author(s): K. R. Prasad, P. Murali, N.V.V.S. Suryanarayana",Title: Existence of Heteroclinic Solutions to Fourth Order Φ−Laplacian Dynamical Equations
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>The objective of this paper is to establish intuitionistic fuzzy α-generalized semi continuous mappings and to study some of their properties. Finally we introduce intuitionistic fuzzy α-generalized semi irresolute mappings and investigate their characterizations.</p></div>
		<br>
		</div>","Author(s): M. Jeyaraman, A. Yuvarani, O. Ravi",Title: IFαGS Continuous and IFαGS Irresolute Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>We, here, study a certain differential subordination involving a multiplier transformation which unifies some known differential operators. As a special case to our main result, we find some new results providing the best dominant for zp/f(z), z/f(z) and zp−1/f'(z), 1/f'(z).</p></div>
		<br>
		</div>",Author(s): Sukhwinder Singh Billing,Title: A Subordination Theorem Involving a Multiplier Transformation
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this work we study the asymptotic behavior as t → ∞ of the solution for the Timoshenko system with delay term in the feedback. We use the semigroup theory for to prove the well-posedness of the system and for to establish the exponential stability. As far we know, there exist few results for problems with delay, where the asymptotic behavior is based on the Gearhart- Herbst-Pruss-Huang theorem to dissipative system. See [4], [5], [6]. Finally, we present numerical results of the solution of the system.<br></div>
		<br>
		</div>","Author(s): C. A. Raposo, J. A. D. Chuquipoma, J. A. J. Avila, M. L. Santos",Title: Exponential Decay and Numerical Solution for a Timoshenko System with Delay Term in the Internal Feedback
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Some new formulas are given to approximate higher order derivatives and integrals through Aitken-Neville iterative schemes for arbitrary spaced grids. An algorithm is given in MATLAB for numerical differentiation. Also, numerical examples are provided to study error analysis of new formulas for numerical differentiation and integration.</div>
		<br>
		</div>",Author(s): Ramesh Kumar Muthumalai,Title: Numerical Differentiation and Integration through Aitken-Neville Schemes
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Pseudoanalytic functions (PAF) are constructed as complex combination of real-valued analytic solutions to the Stokes-Betrami System. These solutions include the generalized biaxisymmetric potentials. McCoy [10] considered the approximation of pseudoanalytic functions on the disk. Kumar et al. [9] studied the generalized order and generalized type of PAF in terms of the Fourier coefficients occurring in its local expansion and optimal approximation errors in Bernstein sense on the disk. The aim of this paper is to improve the results of McCoy [10] and Kumar et al. [9]. Our results apply satisfactorily for slow growth.</div>
		<br>
		</div>",Author(s): Devendra Kumar,Title: Slow Growth and Optimal Approximation of Pseudoanalytic Functions on the Disk
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The purpose of this paper to study a three-step iterative algorithm for T-Ciric quasi-contractive (TCQC) operator in the framework of CAT(0) spaces and establish strong convergence theorems for above said scheme and operator. Our results improve and extend the recent corresponding results from the existing literature (see, e.g., [28, 29, 30] and some others).<br></div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Fixed Point Theorems for T-Ciric Quasi-contractive Operator in CAT(0) Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this paper is to establish some new common fixed point theorems for generalized contractive maps in complex-valued metric space by using property (<em>E.A</em>.) and common property (<em>E.A</em>.).</div>
		<br>
		</div>",Author(s): Saurabh Manro,Title: Some Common Fixed Point Theorems in Complex-Valued Metric Spaces Using Implicit Relation
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We start this review paper by recalling some known and relatively recent results in polynomial approximation on unbounded subsets. These results allow approximation of nonnegative continuous functions with compact support contained in the first quadrant by sums of tensor products of positive polynomials in each separate variable, on the positive semiaxes. Consequently, we characterize the existence of solution of a two dimensional Markov moment problem in terms of products of quadratic forms. Secondly, one proves some applications of abstract results on the extension of linear operators with two constraints to the Markov moment problem. Two applications related to this last part are considered.</div>
		<br>
		</div>",Author(s): Octav Olteanu,Title: Polynomial Approximation on Unbounded Subsets and the Markov Moment Problem
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper gives an interpretation of the Fourier-Stieltjes transform of vector measures by means of the tensor product of Hilbert spaces. It also extends the Kronecker product to some operators arising from the Fourier-Stieltjes transformation and associated with the equivalence classes of unitary representations of a compact group. We obtain among other results the effect of this product on convolution of vector measures.</div>
		<br>
		</div>",Author(s): Yaogan MENSAH,Title: Facts about the Fourier-Stieltjes Transform of Vector Measures on Compact Groups
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we prove the common fixed point theorem in cone metric space for rational expression in normal cone setting. Our results generalize the main result of Jaggi [10] and Dass, Gupta [11].<br></div>
		<br>
		</div>","Author(s): R. Uthayakumar, G. Arockia Prabakar",Title: Common Fixed Point Theorem in Cone Metric Space for Rational Contractions
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we introduced the concepts of cyclic contraction on S- metric space and proved some fixed point theorems on S- metric space. Our presented results are proper generalization of Sedghi et al. [14]. We also give an example in support of our theorem.<br></div>
		<br>
		</div>",Author(s): Animesh Gupta,Title: Cyclic Contraction on S- Metric Space
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, criteria for the existence of weak solutions and uniformly weak bounded solution of impulsive heat equation containing maximum temperature are investigated and results obtained. An example is given for heat flow system with impulsive temperature using maximum temperature simulator and criteria for the uniformly weak bounded of solutions of the system are obtained.</div>
		<br>
		</div>","Author(s): Oyelami, Benjamin Oyediran",Title: Weak Solution and Weakly Uniformly Bounded Solution of Impulsive Heat Equations Containing “Maximum” Temperature
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The main focus of this paper is to introduce the properties of SC compact spaces.</div>
		<br>
		</div>","Author(s): P. Padma, K.Chandrasekhara Rao, S. Udayakumar",Title: Pairwise SC Compact Spaces
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This review work presents the general statement of a variant of Newton’s method for convex monotone operators and its applications. We consider the estimation of the absolute error too. One makes the connection to the contraction principle. One of the applications is approximating  where a positive selfadjoint operator is acting on a Hilbert space. One works with “global” convex monotone operators. For the local approach, we mention appropriate references.<br></div>
		<br>
		</div>",Author(s): Octav Olteanu,Title: Newton’s Method for Convex Operators and Applications
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We consider iteration of two entire functions of (p , q)-order and study some growth properties of iterated entire functions to generalise some earlier results.</div>
		<br>
		</div>","Author(s): Dibyendu Banerjee, Nilkanta Mondal",Title: On the Growth of Iterated Entire Functions
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We study Ricci solitons in (ε,δ)-trans-Sasakian manifolds. It is shown that a symmetric parallel second order covariant tensor in a (ε,δ)-trans-Sasakian manifold is a constant multiple of the metric tensor. Using this it is shown that if Vg + 2S is parallel where V is a given vector field, then (g,V) is Ricci soliton. Further, by virtue of this result, Ricci solitons for 3-dimensional (ε,δ)-trans-Sasakian manifolds are obtained. Also an example of Ricci solitons in 3-dimensional (ε,δ)-trans-Sasakian manifold is provided in the region where trans-Sasakian manifold is expanding (shrinking) the Lorentzian trans-Sasakian manifold is shrinking (expanding).</div>
		<br>
		</div>","Author(s): C.S. Bagewadi, Gurupadavva Ingalahalli","Title: Ricci Solitons in (ε,δ)-Trans-Sasakian Manifolds"
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, the empirical likelihood method to study the statistical diagnostic for partially linear varying coefficient model with random right censorship. First the primary model is transformed to patially linear varying coefficient model; then the parameter estimation equation based on the experience of application of likelihood methods to estimate. Experience based on the deletion model proposed experience like natural Cook distance, likelihood distance, then find outliers and strong influence point; At last, an example is given to illustrate our results.</div>
		<br>
		</div>","Author(s): Wang Shuling, Liao Daqing, Liu Man",Title: Statistical Diagnostic for Partially Linear Varying Coefficient Model with Random Right Censorship Based on Empirical Likelihood Method
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, it is shown that the modified multi-step iteration converges strongly to the common fixed point of a finite family of nearly uniformly L- Lipschitzian asymptotically pseudocontractive mappings. The main result is an improvement and extension of well known results in the literature.</p></div>
		<br>
		</div>","Author(s): V.O. Olisama, A.A. Mogbademu, J.O. Olaleru",Title: Convergence of a Modified Multi-Step Iterative Scheme for p- Nearly Uniformly L-Lipschitzian Asymptotically Pseudocontrative Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The notion of Quadruple fixed point is introduced by Karapinar E. [6]. Samet and Vetro [12] established some coupled fixed point theorems for multivalued non linear contraction mapping in partially ordered metric spaces. In this paper, we obtain existence of quadrupled fixed point of multivalued nonlinear contraction mappings in framework work of partially ordered metric spaces. Also, we give an example.</div>
		<br>
		</div>","Author(s): Animesh Gupta, R.N. Yadava, S.S. Rajput",Title: Quadruple Fixed Point of Multivalued Nonlinear Contraction Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Let (X,d) be a Polish space, CB(X) the family all nonempty closed and bounded subsets of X and (Ω,Σ) be a measurable space. In this paper a pair of hybrid measurable mappings f : Ω×X → X and T : Ω×X →CB(X), satisfying the inequality (2.1) below are introduced and investigated. It is proved that if X is complete, T(ω,·), f(ω,·) are continuous for all ω ∈ Ω, T(·,x), f(·,x) are measurable for all x ∈ X and T(ω,ξ(ω)) ⊆ f(ω × X) and f(ω ×X) = X for each ω ∈ Ω, then there is a measurable mapping ξ : Ω → X such that f(ω,ξ(ω)) ∈ T(ω,ξ(ω)) for all ω ∈ Ω.</div>
		<br>
		</div>","Author(s): Pankaj Kumar Jhade, A. S. Saluja",Title: On Random Coincidence & Fixed Points for a Pair of Multi-Valued & Single-Valued Mappings
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this paper to study a Noor-type iteration process with errors for approximating common fixed point of a finite family of uniformly L-Lipschitzian asymptotically quasi-nonexpansive type mappings in the framework of convex metric spaces. We give a necessary and sufficient condition for strong convergence of said iteration scheme involving a finite family of above said mappings and also establish a strong convergence theorem by using condition (A). The results presented in this paper extend, improve and unify some existing results in the previous work.</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Convergence Theorems for Asymptotically Quasi-Nonexpansive Type Mappings in Convex Metric Spaces
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we give some theorems on point of coincidence and common fixed point for two self mappings satisfying some general contractive conditions in generalized vector spaces. Our results generalize some well-known recent results in this direction.</div>
		<br>
		</div>","Author(s): Rajesh Shrivastava, Rajendra Kumar Dubey, Pankaj Tiwari",Title: Some Common Fixed Point Theorems in Generalized Vector Metric Spaces
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Some Direct Theorems for the linear combinations of a new class of positive linear operators have been obtained for both, pointwise and uniform simultaneous approximations. a number of well known positive linear operators such as Gamma Operators of Muller, Post-Widder and Modified Post-Widder Operators are special cases of this class of operators.</div>
		<br>
		</div>","Author(s): Bramha Dutta Pandey, B. Kunwar",Title: Approximating Derivatives by a Class of Positive Linear Operators
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, a new class of extended general strongly mixed variational inequalities is introduced and studied in Hilbert spaces. An existence theorem of solution is established and using resolvent operator technique, a new iterative algorithm for solving the extended general strongly mixed variational inequality is suggested. A convergence result for the iterative sequence generated by the new algorithm is also established.</div>
		<br>
		</div>",Author(s): Balwant Singh Thakur,Title: Solvability of Extended General Strongly Mixed Variational Inequalities
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we obtain the solution of a reciprocal type functional equation in three variables…</div>
		<br>
		</div>","Author(s): K. Ravi, J.M. Rassias, B.V. Senthil Kumar",Title: General Stability of a Reciprocal Type Functional Equation in Three Variables
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this paper is to prove some strong convergence theorems for the modified Ishikawa iteration scheme involving quasi-nonexpansive multi-valued mappings in the framework of CAT(0) spaces.</div>
		<br>
		</div>","Author(s): Pankaj Kumar Jhade, A. S. Saluja",Title: Two Step Modified Ishikawa Iteration Scheme for Multi-Valued Mappings in CAT(0) Space
,,
