abstract,author,title
"
	This paper examines safety impacts of a Pedestrian
Countdown Signal (PCS) installed on a busy downtown intersection in San Diego,
California. Crossing episodes of over 5000 pedestrians were videotaped and
analyzed using multivariate statistical methods. Details of timing of
pedestrian crossing as well as information about vehicular traffic and signal
timing were carefully coded for each pedestrian. Significant safety benefits of
the PCS system were found on the long crossings over a street with high
vehicular volumes: most pedestrians were able to effectively increase their
walking speed to complete their crossing without committing the exit
violation—even if they have already committed the entry violation. However, on
the short crossing with light vehicular traffic, PCS was generally ineffective
in preventing the entry violations from becoming exit violations. Over there,
many pedestrians felt safe enough to walk over a short crossing with no
apparent vehicular traffic in sight instead of waiting for a green signal. The
length of crossing and volume of interfering vehicular traffic were
consistently found the most significant variables affecting the crossing violation
rates of different categories of pedestrians. Crossing violation rates were the
highest for runners, bicyclists and older males. Crossing violation
characteristics were found to be consistent over time.
","
                Janusz Supernak, Vinay Verma, Iga Supernak
            "," , , , , UTC: 00:30 - 09:30,
                Pedestrian Countdown Signals: What Impact on Safe Crossing?  [CCES 2013]
            "
,"
                Ellen A. Ensher
            "," , , , , UTC: 00:30 - 09:30,
                E-mentoring as a Critical E-learning Approach: The Impact of Social Presence on E-mentoring  [iTAP 2013]
            "
"
	Face recognition is an
active area of biometrics. This study investigates the use of Chain Codes as
features for recognition purpose. Firstly a segmentation method, based on skin
color model was applied, followed by contour detection, then the chain codes of
the contours were determined. The first difference of chain codes were
calculated since the latter is invariant to rotation. The features were
calculated and stored in a matrix. Experiments were performed using the University of Essex Face database, and results show a
recognition rate of 95% with this method, when compared with Principal
Components Analysis (PCA) giving 87.5% recognition rate.
","
                Nazmeen B. Boodoo-Jahangeer, Sunilduth Baichoo
            "," , , , , UTC: 00:30 - 09:30,
                Face Recognition Using Chain Codes  [CSIP 2013]
            "
"
	This paper focuses on the denoising of
phonocardiogram (PCG) signals by means of discrete wavelet transform (DWT)
using different wavelets and noise level estimation methods. The signal
obtained by denoising from PCG signal contaminated white noise and the original
PCG signal is compared to determine the appropriate parameters for denoising.
The comparison is evaluated in terms of signal to noise ratio (SNR) before and
after denoising. The results showed that the decomposition level is the most important
parameter determining the denoising quality.
,
	 
","
                Burhan Ergen
            "," , , , , UTC: 00:30 - 09:30,
                Comparison of Wavelet Types and Thresholding Methods on Wavelet Based Denoising of Heart Sounds  [CSIP 2013]
            "
"
	Emotion mismatch between training and
testing is one of the important factors causing the performance degradation of
speaker recognition system. In our previous work, a bi-model emotion speaker
recognition (BESR) method based on virtual HD (High Different from neutral,
with large pitch offset) speech synthesizing was proposed to deal with this
problem. It enhanced the system performance under mismatch emotion states in
MASC, while still suffering the system risk introduced by fusing the scores
from the unreliable VHD model and the neutral model with equal weight. In this
paper, we propose a new BESR method based on score reliability fusion. Two strategies,
by utilizing identification rate and scores average relative loss difference,
are presented to estimate the weights for the two group scores. The results on
both MASC and EPST shows that by using the weights generated by the two strategies,
the BESR method achieve a better performance than that by using the equal
weight, and the better one even achieves a result comparable to that by using
the best weights selected by exhaustive strategy.
","
                H. B. Zhang, T. Wang, T. Huang, X. Yang
            "," , , , , UTC: 00:30 - 09:30,
                Applying Score Reliability Fusion to Bi-Model Emotional Speaker Recognition  [CSIP 2013]
            "
"
	In this paper, a novel signal
processing technique hasbeen developed to refocus moving targets image from their smeared
responses in the Synthetic Aperture Radar (SAR) image according to the
characteristics of the received signals for moving targets. Quadratic Phase Function
is introduced to the parameters estimation for moving target echo and SAR
imaging. Our method is available even under a low SNR environment and acquiring
an exact SAR image of moving targets. The simulated results demonstrated the validity of the
algorithm proposed.
","
                Chao Wang, Shaobin Li
            "," , , , , UTC: 00:30 - 09:30,
                SAR Imaging of Moving Target Based on Quadratic Phase Function  [CSIP 2013]
            "
"
	The development of an efficient moving
target detection algorithm in IR-image sequence is considered one of the most
critical research fields in modern IRST (Infrared Search and Track) systems,
especially when dealing with moving dim point targets. In this paper we propose
a new approach in processing of the Infrared image sequence for moving dim
point targets detection built on the transformation of the IR-image sequence
into 4-vectors for each frame in the sequence. The results of testing the
proposed approach on a set of frames having a simple single pixel target
performing a different motion patterns show the validity of the approach for
detecting the motion, with simplicity in calculation and low time consumption.
","
                Mohamed Abdo M., Hongzuo Li
            "," , , , , UTC: 00:30 - 09:30,
                New Approach in Processing of the Infrared Image Sequence for Moving Dim Point Targets Detection  [CSIP 2013]
            "
"
	,
","
                M. Epov, C. Suhorukova, V. Glinskikh, M. Nikitenko, O. Nechaev, I. Surodina
            "," , , , , UTC: 00:30 - 09:30,
                Effective Electromagnetic Log Data Interpretation  in Realistic Reservoir Models  [ICGG 2013]
            "
,," , , , , UTC: 00:30 - 09:30"
"
	The classical TV (Total Variation)
model has been applied to gray texture image denoising and inpainting previously
based on the non local operators, but such model can not be directly used to
color texture image inpainting due to coupling of different image layers in
color images. In order to solve the inpainting problem for color texture images
effectively, we
propose a non local CTV (Color Total Variation) model. Technically, the
proposed model is an extension of local TV model for gray images but we take
account of the coupling of different layers in color images and make use of
concepts of the non-local operators. As the coupling of different layers for
color images in the proposed model will in-crease computational complexity, we also
design a fast Split Bregman algorithm. Finally, some numerical experiments are conducted
to validate the performance of the proposed model and its algorithm.
","
                Jinming Duan, Zhenkuan Pan, Wangquan Liu, Xue-Cheng Tai
            "," , , , , UTC: 00:30 - 09:30,
                Color Texture Image Inpainting Using the Non Local CTV Model  [CSIP 2013]
            "
,," , , , , UTC: 00:30 - 09:30"
"
	The performance of classic
Mel-frequency cepstral coefficients (MFCC) is unsatisfactory in noisy
environment with different sound sources from nature. In this paper, a
classification approach of the ecological environmental sounds using the double-level energy detection
(DED) was presented. The DED was used to detect the existence of the sound
signals under noise conditions. In addition, MFCC features from the frames
which were detected the presence of the sound signals by DED were extracted.
Experimental results show that the proposed technology has better noise immunity than classic MFCC, and also
outperforms time-domain energy detection (TED) and frequency-domain energy detection (FED) respectively.
","
                Xiaoxia Zhang, Ying Li
            "," , , , , UTC: 00:30 - 09:30,
                Environmental Sound Recognition Using Double-Level Energy Detection  [CSIP 2013]
            "
"
	Periodical impulse component is one of
typical fault characteristics in vibration signals from rotating machinery. However,
this component is very small in the early stage of the fault and masked by
various noises such as gear meshing components modulated by shaft frequency, which
make it difficult to extract accurately for fault detection. The adaptive line
enhancer (ALE) is an effective technique for separating sinusoidals from broad-band components of an input
signal for detecting the presence of sinusoids in white noise. In this paper,
ALE is explored to suppress the periodical gear meshing frequencies and enhance
the fault feature impulses for more accurate fault diagnosis. The results
obtained from simulated and experimental vibration signals of a two stage
helical gearbox prove that the ALE method is very effective in reducing the
periodical gear meshing noise and making the impulses in vibration very clear
in the time-frequency analysis. The results show a clear difference between the
baseline and 30% tooth damage of a helical gear which has not been detected
successfully in author’s previous studies.
","
                Xiange Tian, Tie Wang, Zhi Chen, Fengshou Gu, Andrew Ball
            "," , , , , UTC: 00:30 - 09:30,
                A Transient Enhancement Method for Two-Stage Helicopter Gearbox Fault Diagnosis Based on ALE  [CSIP 2013]
            "
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
"
	, 
","
                K. Mwitondi, J. Bugrien, K. Wang
            "," , , , , UTC: 00:30 - 09:30,
                Using Optimized Distributional Parameters as Inputs in a Sequential Unsupervised and Supervised Modeling of Sunspots Data  [CiSE 2013]
            "
"
	,
","
                Feng-Yi Cheng, Chu-Ja Chang, Gwo-Jia Jong
            "," , , , , UTC: 00:30 - 09:30,
                Digital Interactive Kanban Advertisement System Using Face Recognition Methodology  [PTT 2013]
            "
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
"
	The de-noising of the fingerprint
image is one of the key tasks before the extraction of the minutiae in
automatic fingerprint matching. When used for de-noising the fingerprint image,
the nonlocal means method can not preserve the local minutiae in the
fingerprint image very well. To address this problem, we propose a local
orientation field based nonlocal means (NLM-LOF) method in this paper. Experimental
results on the simulated and real images show that the proposed method can
suppress noise effectively while preserving edges and details in the
fingerprint image and it outperforms the state-of-art nonlocal means method in
terms of qualitative metrics and visual comparisons.
,
	 
","
                J. Zou, J. B. Feng, X. M. Zhang, M. Y. Ding
            "," , , , , UTC: 00:30 - 09:30,
                Local Orientation Field Based Nonlocal Means Method for Fingerprint Image De-Noising  [CSIP 2013]
            "
"
	,
","
                Guy Guy Berthault
            "," , , , , UTC: 00:30 - 09:30,
                Orogenesis: Cause of Sedimentary Formations  [ICGG 2013]
            "
"
	,
","
                Mark Jinmin, Rosli Saad, Mokhtar Saidin, Andy A. Bery
            "," , , , , UTC: 00:30 - 09:30,
                Electrical Resistivity Survey in Bukit Bunuh, Malaysia for Subsurface Structure of Meteorite Impact Study  [ICGG 2013]
            "
"
	This paper presents a corner-based
image alignment algorithm based on the procedures of corner-based template
matching and geometric parameter estimation. This algorithm consists of two
stages: 1) training phase, and 2) matching phase. In the training phase, a
corner detection algorithm is used to extract the corners. These corners are
then used to build the pyramid images. In the matching phase, the corners are
obtained using the same corner detection algorithm. The similarity measure is
then determined by the differences of gradient vector between the corners
obtained in the template image and the inspection image, respectively. A
parabolic function is further applied to evaluate the geometric relationship between
the template and the inspection images. Results show that the corner-based
template matching outperforms the original edge-based template matching in
efficiency, and both of them are robust against non-liner light changes. The
accuracy and precision of the corner-based image alignment are competitive to
that of edge-based image alignment under the same environment. In practice, the
proposed algorithm demonstrates its precision, efficiency and robustness in
image alignment for real world applications.
","
                Chin-Sheng Chen, Kang-Yi Peng, Chien-Liang Huang, Chun-Wei Yeh
            "," , , , , UTC: 00:30 - 09:30,
                Corner-Based Image Alignment using Pyramid Structure with Gradient Vector Similarity  [CSIP 2013]
            "
"
	,
","
                Aileen Pidgeon, Alexandra Grainger
            "," , , , , UTC: 00:30 - 09:30,
                Mindfulness as a Factor in the Relationship between  Insecure Attachment Style, Neurotic Personality and  Disordered Eating Behavior  [CPA 2013]
            "
"
	,
","
                Yongzhang Yang, Jinsong Ping, Zhengxin Li
            "," , , , , UTC: 00:30 - 09:30,
                Plumb Line Variations (PLV) at China and Their Relation with Earthquakes and Underground Materials Changes  [ICGG 2013]
            "
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
,," , , , , UTC: 00:30 - 09:30"
"
	,
","
                Weihua Wang, Haili Liao, Mingshui Li, Hanjie Huang
            "," , , , , UTC: 00:30 - 09:30,
                Similarity Study on Snowdrift Wind Tunnel Test  [CCES 2013]
            "
,"
                Zhaohui Xia, Xiaogang Yang, Fei Meng, Shicheng Wang
            "," , , , , UTC: 00:30 - 09:30,
                Robust Performance of Scene Matching Algorithm  [SCET 2013]
            "
"
	This paper
presents a fully automatic segmentation method of liver CT scans using fuzzy
c-mean clustering and level set. First, the contrast of original image is
enhanced to make boundaries clearer; second, a spatial fuzzy c-mean clustering combining ,with ,anatomical prior knowledge is employed to
extract liver region automatically; thirdly, a
distance regularized level set is used for refinement; finally, morphological
operations are used as post-processing. The experiment result shows that the method can
achieve high accuracy (0.9986) and specificity (0.9989). Comparing with standard level set method, our method is more effective in
dealing with over-segmentation problem.
,
	,
","
                Xuechen Li, Suhuai Luo, Jiaming Li
            "," , , , , UTC: 00:30 - 09:30,
                Liver Segmentation from CT Image Using Fuzzy Clustering and Level Set  [CSIP 2013]
            "
"
	Dictionary learning has been applied
to face recognition and gets good results. However few works applied dictionary
learning in facial expression recognition. This paper investigates the
application of K-SVD in facial expression recognition. Since K-SVD focuses on
reconstruction and lacks discriminant capability. It has similar classification
performance with image pixel values. To address this problem, this paper
proposes a Combined Dictionary Scheme, which uses combination of separate dictionaries.
This yields better performance than the original single dictionary scheme in
terms of both recognition rate and computation complexity.
","
                Ziyang Zhang, Kaamran Raahemifar
            "," , , , , UTC: 00:30 - 09:30,
                Combined Dictionary Learning in Facial Expression Recognition  [CSIP 2013]
            "
"
	Recently, multiple-input
multiple-output (MIMO) relay technique has been received great attention due to
its prominent ability to provide broad coverage and enhance the link
reliability and spectral efficiency. In this paper, an overview of optimal
design for single user and multiuser non-regenerative MIMO relay systems is
proposed. We explore some key designs of source node and destination node as
well as relay node processing matrices using minimum mean square error (MMSE)
criterion under the transmit power constraints. Simulation results compare
different methods in terms of the MSE and bit error rate (BER) performance.
","
                Fangni Chen
            "," , , , , UTC: 00:30 - 09:30,
                Optimal Design for MIMO Relay System  [CSIP 2013]
            "
"
	The ESMD method can be seen as a new alternate of the
well-known Hilbert-Huang transform (HHT) for non-steady data processing. It is
good at finding the optimal adaptive global mean fitting curve, which is
superior to the common least-square method and running-mean approach. Take the
air-sea momentum flux investigation as an example, only when the non-turbulent wind
components is well extracted, can the
remainder signal be seen as actual oscillations caused by turbulence. With the
aid of —5/3 power law for the
turbulence, a mode-filtering approach based on ESMD decomposition is developed
here. The test on observational data indicates that this approach
is very feasible and it may greatly reduce the error caused by the non-turbulent
components.
","
                Hui-Feng Li, Jin-Liang Wang, Zong-Jun Li
            "," , , , , UTC: 00:30 - 09:30,
                Application of ESMD Method to Air-Sea Flux Investigation  [HOAC 2013]
            "
"
	,
","
                Yeoh Si Han, Woo Pei Jun
            "," , , , , UTC: 00:30 - 09:30,
                Parental Involvement in Child’s Development:  Father vs. Mother  [CPA 2013]
            "
"
	,
","
                Nisa’ Ali, Rosli Saad, M. M. Nordiana
            "," , , , , UTC: 00:30 - 09:30,
                Integration of Seismic Refraction and 2D Electrical  Resistivity in Locating Geological Contact  [ICGG 2013]
            "
"
	Model based implementation of a novel
nonlinear adaptive filter for extraction of time varying sinusoids using Xilinx
system generator has been presented in this work. The practicality of this
filter model along with its performance makes it one of the foremost candidates
to be applied on nonlinear systems for the purpose of estimation and extraction
using reconfigurable hardware like FPGA. A design implementation and
verification approach has been discussed for more efficient implementation.
Timing and power analysis has been performed and the architecture has been
optimized for speed and power to perform at higher frequency when integrated on
a Xilinx FPGA. The proposed hardware oriented architecture has been
successfully implemented and simulated. The simulation results to track a noisy
input have also been shown to demonstrate the exceptional performance of the
hardware based architecture developed.
","
                Muhammad Abubakar, Arshad Aziz, Pervez Akhtar
            "," , , , , UTC: 00:30 - 09:30,
                Xilinx System Generator, Based Implementation of a Novel Method of Extraction of Nonstationary Sinusoids  [CSIP 2013]
            "
"
	Visual attention mechanisms allow
humans to extract relevant and important information from raw input percepts.
Many applications in robotics and computer vision have modeled human visual
attention mechanisms using a bottom-up data centric approach. In contrast, recent studies in cognitive
science highlight advantages of a top-down approach to the attention
mechanisms, especially in applications involving goal-directed search. In this
paper, we propose a top-down approach for extracting salient objects/regions of space. The
top-down methodology first isolates different objects in an unorganized point
cloud, and compares each object for uniqueness. A measure of saliency using the
properties of geodesic distance on the object’s surface is defined. Our method
works on 3D point cloud data, and identifies salient objects of high curvature
and unique silhouette. These being the most unique features of a scene, are
robust to clutter, occlusions and view point changes. We provide the details of
the proposed method and initial experimental results.
,
	 
","
                Shashank Bhatia, Stephan K. Chalup
            "," , , , , UTC: 00:30 - 09:30,
                Segmenting Salient Objects in 3D Point Clouds of Indoor Scenes Using Geodesic Distances  [CSIP 2013]
            "
"
	,In edge detection algorithms, there
is a common redundancy problem, especially when the gradient direction is close
to -135°, -45°, 45°, and 135°. Double edge effect appears on the edges around
these directions. This is caused by the discrete calculation of non-maximum
suppression. Many algorithms use edge points as feature for further task such
as line extraction, curve detection, matching and recognition. Redundancy is a
very important factor of algorithm speed and accuracy. We find that most edge
detection algorithms have redundancy of 50% in the worst case and 0% in the
best case depending on the edge direction distribution. The common redundancy
rate on natural images is approximately between 15% and 20%. Based on Canny’s
framework, we propose a restriction in the hysteresis step. Our experiment
shows that proposed restricted hysteresis reduce the redundancy successfully.
","
                Bo Li, Ulrik Söderström, Shafiq Ur Réhman, Haibo Li
            "," , , , , UTC: 00:30 - 09:30,
                Restricted Hysteresis Reduce Redundancy in Edge Detection  [CSIP 2013]
            "
"
	, 
","
                A. G. Yakovlev, V. A. Shuvalov
            "," , , , , UTC: 00:30 - 09:30,
                Incoherent Oscillations Accompanying Charge Separation in Photosynthetic Reaction Centers  [BPBC 2013]
            "
"
	This paper outlines procedures to analyze the
desertification processes in the semi-arid Seridó Region (NE Brazil). Using the
Geosystem theory, the detection of desertification areas was based on
environmental indices, digital image processing in multispectral analysis and
Geographic Information System (GIS).The first step was to treat
the rainfall data and NDVI satellite Modis, aiming at identifying areas which
do not present vegetation cover, even during the rainy seasons.The second
step was to work on a regional scale using Landsat ETM + images (2000-2005) and
data collected in the field, as the evaluations of exposed surfaces, that
together with MDT/SRTM-NASA and thematic maps, allowed to classify the
altitude and slope of the relief, soils type, different morphologies and
geology, and correlate them with the areas susceptible to desertification
process. The integration of the georeferenced data, related to these
indicators, allowed the identification of five different levels of
susceptibility to desertification (very high, high, moderate, low and very
low), and the geographic domain of each class. Based on the analysis of the
dynamics of the vegetation cover, we can establish that the main results refer
that there is a decrease of the biomass at the region, associated with the
dense caatinga vegetation areas, but more important, with the scrub and
degraded areas.
","
                Reinaldo Antonio Petta, Leila Vespoli de Carvalho, Stefan Erasmi, Charles Jones
            "," , , , , UTC: 00:30 - 09:30,
                Evaluation of Desertification Processes in  Seridó Region (NE Brazil)  [HOAC 2013]
            "
"
	, 
","
                Jauhar Fajrin, Yan Zhuge, Frank Bullen, Hao Wang
            "," , , , , UTC: 00:30 - 09:30,
                Significance Analysis of Flexural Behaviour of Hybrid Sandwich Panels  [CCES 2013]
            "
,"
                Animesh Tripathy, Ipsa De
            "," , , , , UTC: 00:30 - 09:30,
                Privacy Preserving Two-Party Hierarchical Clustering Over Vertically Partitioned Dataset  [SCET 2013]
            "
"
	,
","
                Aileen Pidgeon, Rachel A. Harker
            "," , , , , UTC: 00:30 - 09:30,
                Body-focused Anxiety in Women: Associations with  Internalization of the Thin-ideal, Dieting Frequency, Body Mass Index and Media Effects  [CPA 2013]
            "
,"
                Robert Steele, Andrew Clarke
            "," , , , , UTC: 00:30 - 09:30,
                The Internet of Things and Next-generation Public Health Information Systems  [iTAP 2013]
            "
,"
                Juan Chen, Haifeng Li
            "," , , , , UTC: 00:30 - 09:30,
                Analysis of Switching Overvoltage in Regional Grid with Small Hydropower Plants  [PEAM 2013]
            "
