abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>The Wireless Sensor Network (WSN) is an emerging field of wireless network comprising of few to many autonomous tiny sensors nodes, with limited processing, limited memory, limited battery power, limited bandwidth and limited wireless transmission capabilities. The life time of the sensor node depends upon the battery power. WSN are commonly used to monitor environmental conditions like temperature, sound and pressure etc. WSN is an application of MANET. Wireless sensor node collects data and sends back to the sink or Base Station (BS). Data transmission is normally multi-hop among sensor nodes that enable these nodes to transmit data from hop to hop towards the sink or BS. Wireless sensor network requires robust and energy efficient communication protocols to minimize the energy consumption as much as possible.  Main penalty area of researchers is to design the energy efficient routing protocol. Routing protocols should be energy efficient, scalable and prolong the network lifetime.But Quality of Service QoS is also a challenge for energy efficient routing protocols for researchers. QoSneeds a multi-layerlinespanning using the different layer protocol architecture. In this paper, we enlighten the energy efficient routing towards QoS in WSNs and proposes a solutionfor the QoS layer in energy efficient routing techniques in WSNs and finally, highlight some open problems and future direction of research for given that QoS in WSNs.</em></p></div>
		<br>
		</div>","SHAKEEL AHMAD, ASIM SHAHZAD, NATASH ALI",A Comprehensive Study Of Energy Efficient Routing In Wsn Towards Qos
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Different methodologies have been used to design and model a system which having the ability to make decision in uncertain and indecisive situation. In this paper we present the comparisons of membership and reduced membership functions for fuzzy rules. A model of different fuzzy rules is designed for three membership functions (mf) and then reduced the fuzzy rules by reducing the mf. </em></div>
		<br>
		</div>","SHAH NAZIR, MUHAMMAD NAZIR",Comparisons Of Membership Functions For Fuzzy Rules
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Memories are the internal mental records that we maintain .Human mind is a very complex organ.. Processing depends on how we memorize information, events and how we recall things and use them efficiently in situations when required. It can be related that for Storage in mind we use different data structures for storing variety of information. We remember the names of known persons, and the people we met more frequently.The Topics in book, Months of the year, our CNIC Number, the way we learn words of a new language etc. Recently invented data structures e.g skiplist [1] show much similarity of how the brain store the information. So we can say Careful study of how the cognitive storage works could lead to the discovery of the new data structures In this paper we have attempted to relate the existing data structures with how we store information in mind.</em></p></div>
		<br>
		</div>","ABDUL WAHAB, ADNAN ABID, AMJAD IQBAL",Cognitive Storage Model And Mapping  With Classical Data Structures
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>When we think about formal method; the first thing which comes in our mind is mathematical approach. The process of formalization is an approach based on mathematics and used to elaborate the properties of systems (hardware and software). The mathematical modeling or formal methods provide us a framework for large and complex systems. Thus these systems can be specified, analyzed, designed, and verified in a systematic way rather than the approaches which are used conventionally. Formal verification and the methods are applied using theoretical computer science fundamentals to solve the complex and difficult problems in large and complex software and hardware systems to ensure the systems will not fail with run-time errors. Conventional approaches of software verification in call distribution systems rely on quality assurance to verify the system behavior and robustness. The process of software testing cannot show the absence of errors it can only show the presence of errors in software systems. [1] In contrast, the mathematically-based techniques of verification are based on formal methods to prove certain software attributes, for example proving that software does or does not contain the occurrence of errors at run-time such as overflows, divide-by-zero, and access violation, invalid memory access and stack/heap corruption. [1] In this paper later we will have comparative analysis of formal methods vs. conventional software development approaches in call distribution systems. Using this comparison we‘ll try to identify the methodologies and approaches which would be better in SDLC for call distribution systems. </em></div>
		<br>
		</div>","MUHAMMAD AJMAL SIDDIQUI, MUHAMMAD SALEEM AKHTER, NATASH ALI MIAN",A Comparative Analysis Of Conventional Software Development Approaches Vs. Formal Methods In Call Distribution Systems
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Dengue fever is widespread disease in the tropical areas caused by bite of female Eddie mosquito. Pakistan has been victim of this rapidly growing disease since last few years. The world health organization identified the four types of dengue fever. The experts are facing the problem of misdiagnosis of dengue fever. The Tests needed for empirical Classification of Dengue Fever takes a lot of time and money especiallyin epidemic situation in a country with limited resources. Therefore, we have used data mining techniques for the efficient classification of the dengue fever Type. The decision tree learning algorithm has been used as a classification Model. We performed two experiments using decision tree. The first general experiment shows the accuracy of 99.44%. It prunes the attributes which classify the dengue fever on the basis of the values in the dataset. The Second experiment classifies the dengue fever on the basis of expert weighted attributes, which are used in the classification on the basis of Minimum Cost and resource availability. The accuracy of this Model is still high 98.62%. We compared the performance in term of Type II error. We found that the Type II error is very low in second experiment</em></div>
		<br>
		</div>","WAJEEHA FAROOQI, SADAF ALI, ABDUL WAHAB",Classification Of Dengue Fever Using  Decision Tree
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Almost all the organizations are seriously thinking to adopt the cloud computingservices, seeing its benefits in terms of cost, accessibility, availability, flexibility andhighly automated process of updation. Cloud Computing enhance the current capabilitiesdynamically without further investment. Cloud Computing is a band of resources, applicationsand services. In cloud computing customer’s access IT related services in terms of infrastructure platform and software without getting knowledge of underlying technologies. With the executionof cloud computing, organizations have strong concerns about the security of their data.Organizations are hesitating to take initiatives in the deployment of their businesses due to data security problem. This paper gives an overview of cloud computing and analysis of security issues in cloud computing.</em></p></div>
		<br>
		</div>","AKRAM MUJAHID, TARIQ MAHMOOD, WASEEM IQBAL",Comparative Analysis Of Cloud Computing Security Issues
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Mobile ad-hoc networks (MANETs) are temporary networks without any pre-existing infrastructure in which nodes are connected through wireless channels. There is no centralized administration in this network because nodes are not fixed at their locations, they are continuously moving to different locations. Each node in MANETs has dynamic capabilities because at one point acts as a host while in some other time becomes a router which can forward messages on the network to other nodes. One of the complicated issues in MANETs is routing due to their dynamic topology which is frequently changes due to the mobility of nodes. In order to forward packets in this complex topology using optimal routes, there is a need for efficient routing protocols. There are three categories of routing protocols in MANETs named as reactive, proactive and hybrid respectively. We have used a hybrid type protocol named Zone Routing Protocol (ZRP) for routing in our research. In order to control unwanted flooding in the overlapping zones of ZRP, we have proposed a selective broadcasting technique for route discovery. In this technique route discovery exchange messages are highly reduced in the outer zone of the ZRP.</em></div>
		<br>
		</div>","ISHAQ AHMAD, Omar M. Barukab, Sher Afzal Khan",Reducing Flooding of Zone Routing Protocol in Mobile Ad-Hoc Networks
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Among various software development models, the focus of agile models is disciplined management projects, an approach that enforces self association, collaboration and liability. Agile models adopt a business alignment that supports development with chump needs and aggregation goals. Extreme Programming (XP) and Scrum are often used models of agile whereas Rapid Application Development (RAD) is a conventional plan driven software development model. The purpose of introducing RAD is to include functionality to an application.  Strengths of Scrum and RAD are that they are self managed processes through iterative planning. Basically RAD is the advanced version of XP that’s why XP is also included just for reference.  This research work is intended to analyze the strengths, characteristics and weaknesses of Scrum, RAD and RAD models. The paper also explains the disciplines and phases of RAD that can enhance the robustness of RAD and Scrum models. It will also propose a narrative hybrid model that combines RAD, Scrum and RAD to strengthen their features and removing their weaknesses.</em></p></div>
		<br>
		</div>",Qurat -ul- Ain,A Hybrid Model By Integrating Scrum And RAD
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>New trend for achieving high performance in processors history as well as evolutionary change in the world of IT has revolutionized the concept of speed and performance in industry .The best way to enhance performance is the way to add multiple cores.  To take full advantage of Multi-core processors require some means of dividing work among the cores. It’s up to industry to overcome the problem of programming and hardware to take the full advantage of multi cores. With the passage of time, Pc’s have become rifer and a large number of applications have been designed for the PC’s and end-users and application programmers need more faster and more powerful s</em><em>ystem capable of performing by </em><em>trillions of instruction with low price and high performance. A number of factors have achieved speed by increasing clock speed, adding multiple cores but on the same chip. But here the time is not on end all the manufacturers moves upon to use multiple cores. Multi core simulations helped to understand the communication overhead.</em><em></em></p><p><em>This paper will describe how far industry has progressed and evaluates some challenges that industry faces with multi-core processors. The focus of this paper is on defining a relationship between performance and power level of </em><em>m</em><em>ulticore processors and single core processors</em><em> by defining complete history of processors and what the reason behind the innovation of multi-cores was? How they help to achieve highest performance?</em><em></em></p></div>
		<br>
		</div>",Qurat -ul- Ain,Search for Excellence & Performance -Multicore Processors
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In lossless compression techniques, perfectly identical copy of the original image can be reconstructed from the compressed image. The paper implements three lossless compression techniques namely Huffman Encoding, Run Length Encoding and DPCM techniques using MPI. The experimental results show considerable reduction in execution time and better compression ratio for certain types of images.</div>
		<br>
		</div>","Hanif Durad, Waqas Kazmi, Muhammad Naveed Akhtar",PARALLEL LOSSLESS IMAGE COMPRESSION USING MPI
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>MPLS has a choice of two signalling protocols CR-LDP and RSVP-TE. Both protocols have the ability to provide QoS, constraint based routing, explicit routing and traffic <br>engineering in the core network. In this paper both signalling protocols performance is analyzed and its conclusion helps ISP and carrier providers to make a better choice of signalling protocol as per their needs. The paper reviews the pros and cons of both signalling protocols and then compares the CR-LDP and RVSP-TE in term of bandwidth and throughput of a link for a small and large scale network using video traffic.</div>
		<br>
		</div>",Ghani Rehaman,SCALABLITY ANALYSIS OF MPLS LABEL DISTRIBUTION PROTOCOLS RSVP
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper is using byte oriented encryption scheme for securing HTTP traffic to take less time as compared to HTTPS which is using bib by bit encryption scheme. The resulted data show that it take less time as compared to HTTPS and is more secure as compared to HTTP.</div>
		<br>
		</div>",Zahid Haroon,Securing HTTP traffic using byte oriented encryption scheme
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In the present era abundant web portals are available over the internet. In the proposed work we concentrate on data mining of Quranic web portals. To know and obtain awareness about Islam, numerous Quranic web portals are being accessed worldwide. Data mining is one of the emerging technologies which analyzes raw data using supervised and unsupervised techniques to find the hidden pattens. This paper is intended to study the access pattern of some of these websites region wise using classification based data mining under which ROC plots have been depicted. The AUC of depicted ROC of considered Islamic web portals are obtained and have been distinguished as to which portal’s prediction is more appropriate. Alexa’s web-site is an effective tool for obtaining the required data about each of these Quranic web portals regions wise. The study is focused to analyze this data and find the reasons for certain preferences.</div>
		<br>
		</div>",Mohammad Khubeb Siddiqui,A REVIEW of QURANIC WEB PORTALS THROUGH DATA MINING
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Web services are the emerging technology used to perform complex tasks. Web services are available over the internet and different application can request a specific service to perform the required tasks. As web services are used by different type of applications having different models and protocols, maintaining the interoperability are very important. In this paper we consider the different techniques, standards and models used to maintain interoperability, i.e. WSDL-S, SOAP engine and UDDI (Universal Description Discovery and Integration)[5]. As web services are used commercially then main issue is the security. Integration layer Model is available that is used in support of interoperability in web services [1]. In this model, layers are divided in to low level (with more interaction) to high level (with less interaction). Main purpose of this paper is to propose the new enhanced based model. This model is based upon the layer architecture, to support message passing between services having different syntax, semantic and underlying platforms.</div>
		<br>
		</div>","Shahazada Zeeshan Waheed, Farooq Azam",Enhanced Layer Based Model in support of Web services Interoperability
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Nanotechnology have many potentials to be used in various research directions for humanity. It is being used in many applications and products nowadays. One of the important application directions for this emerging technology is biomedical science and human body diagnosis. Nanomachine technology is part of the ﬁeld concerning about creating and maintaining Nanoscale machines capable of performing certain functionalities such as molecule counting [1], molecule shuttling [2] and molecule sensing [3]. Communication between Nanomachines adds more capabilities and allows cooperative and distributed functionalities and form the concept of NanoNetworks [4]. Today’s researchers are trying their best to deploy Nanomachines and NanoNetworks for real-time objectives such as medical purposes. Moreover, the same problem is faced in other ﬁelds such as battleﬁeld networks, environmental monitoring, and automation ﬁelds. However, due to design issues of Nanomachines such as low computation capability, low processing power, limited storage, imperfect sensing, actuation, and limited networking capabilities, the work done in the ﬁeld of Nanonetwork communication is inadequate. <br>In this paper, we present a novel communication protocol stack model for Nanomachines and show how this model can be used in medical applications for human body diagnoses. Our model provides guidance regarding designing protocol stacks for Nanomachines.</div>
		<br>
		</div>","Fasee Ullah, Imran Khan",BNMPS: BIOMOLECULAR NANOMACHINE PROTOCOL STACK FOR HUMAN DISEASE DIAGNOSES: A NEW PARADIGM
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Ontology is an efficient and an adequate way of conceptualization of knowledge representation for real world applications. Ontologies are successfully used in varieties of knowledge domains. <br>In this paper, we focus on the field of medical ontology knowledge construction and representation. We identified three different medical ontologies classes: Generic, Specific and Mass Casualties Incidents (MCI) medical ontologies. This survey should support the construction of medical Ontologies in future for a better patient treatment. In particular, we survey and focus on the existing medical related ontologies and investigate their suitability for use in Mass Casualties Incidents (MCI). </div>
		<br>
		</div>","Fasee Ullah, Imran Khan",USING ONTOLOGIES FOR THE EMERGENCY RESPONSE SUPPORT: A SURVEY
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Learning objects are reusable units of learning that are used for educational purpose. E-learning has now become quite prevalent in learning community, more specifically in the higher education. Teachers and learners play crucial role in the establishment of e-learning community but the system is still not freed of the traditional barriers of the conventional mode of education for the provision of learning contents. The educators and instructional designers are still working on confined repositories for the purpose of authoring learning objects. The learner’s context and behavioral patterns are still not properly integrated in the e-learning system .The study aims to propose architecture for e-learners to get personalized contents in an adaptive fashion. The initial purpose of this study is to perform a quantitative analysis of learning content. The study also contributes to the proper placement of Learning Objects Repository (L.O.R) in the proposed framework and the integration of various tools at the front layer. However the most important contribution of the research is to propose an algorithm that can rank LOs for a learner with reference to his pedagogical needs and learning goals.</div>
		<br>
		</div>","Shaina Qamar, Syed Raza Bashir",TOWARDS THE RECOMMENDATION OF HIGHLY RELEVANT LEARNING OBJECTS TO THE LEARNERS
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>The technology of Ultra Wide band now a days is quite demanding due to the characteristics like its simple architecture , low power consumption and cost reliability but still it faces some deficiencies in term of its design to achieve low complexity and low cost. UWB systems experience problems while using digital signal processing technology and require high sampling frequencies. In this paper, the performance of UWB system in the cooperative communication environment is evaluated in terms of its Bit Error Rate for different number of relays and different average distances from source to destination node. The simulations are performed for both line of sight (LOS) and non-line of sight (NLOS) environment. Results from simulation shows that the performance of the system decreases by increasing average source to destination distance. The simulation results also shows that the system performs better in LOS channel environment as compared to NLOS channel environment. In the end results, it shows that the performance of the system increases by increasing the number of relay nodes to adequately large number.</em></div>
		<br>
		</div>","Pir Meher Ali Shah, Latif Jan, Muhammad Amin, Salman Khan",Code Shifted Reference Based Cooperative Using Multiple Relays In Ultra Wide Band Communication System
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Assembly lines have very important role in manufacturing. These are used to manufacture large scale series of products. Developments over the period of time changed the assembly lines from single model lines to more convenient systems with some variations including two assembly lines, ‘n’ assembly lines, customer oriented mixed model, multi model and u shaped lines and many more. In this paper attention is focused to develop the model which is used to assemble the three different types of autos which have some common auto parts. The main objective is to design this model to reduce the time when the different types of autos having some common auto parts are assembled. The optimization problem in this paper is solved by using dynamic programming approach. For this purpose six assembly lines are used having ‘n’ number of stations, two assembly lines are specified for each type of auto. Assembly lines are set in such a way that the common auto part of three types must be assembled at the parallel station of the lines</em></div>
		<br>
		</div>","Zaheer Ahmad, Shahid Yousaf",Manufacturer Oriented Mixed Model Assembly Line Scheduling using Dynamic Programming
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Visual representations are always better than narrations in accordance to children, for better understanding. This is quite advantageous in learning school lessons and it eventually helps in engaging the children and enhancing their imaginative skills. Using natural language processing techniques and along the computer graphics it is possible to bridge the gap between these two individual fields, it will not only eliminate the existing manual labor involved instead it can also give rise to efficient and effective system frameworks that can form a foundation for complex applications. In this paper we present an architecture to design for a NLP engine that can be used for 3D scene generation, the input would be in textual form that would be processed by each module of the natural language processing (NLP) engine. This text would be restricted in terms of the constraint based grammar (CBG), eliminating the maximum occurrence of any ambiguity and easing the noun fragmentation process. Eventually, the output of the NLP engine would be a sentence that fulfills the custom grammatical rules.</em></p></div>
		<br>
		</div>","NABEEL SABIR KHAN, Adnan Abid",CONSTRAINT BASED NLP ENGINE
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>This paper is aimed at news classification on basis of their headlines. Researchers have worked a lot for carrying out news classification at full text level but work in the domain of news headlines classification exists in very limited ratio, Therefore, after analyzing variety of existing news classification methodologies, a probabilistic framework is presented in this paper for classifying news headlines. News headlines classification process is divided into three modules, headlines pre-processing module, probability learning module, and news headlines classification module. Based on availability of variety of headlines, probabilistic framework is designed, which classifies each news headline to its pre-defined category by calculating its maximum probability in that category. Work has been performed using bag of words approach where each headline is split into words and each word is given a certain probability. Furthermore, it is shown that proposed system gives better accuracy results as compared to existing headline classification systems.</em><em></em></p></div>
		<br>
		</div>","Mazhar Iqbal Rana, DR. Shehzad Khalid, Fizza Abid, Armugh Ali, Mehr Yahya Durrani, Farhan Aadil",News Headlines Classification Using Probabilistic Approach
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><em>Texture analysis is considered fundamental and important in the fields of pattern recognition, computer vision and image processing. Analysis of the textures involves texture features extraction and selection, and plays an essential role in the classification and segmentation of textural features. In this study have compared two texture classification methods based on the Random Forest (RF) and Decision Tree (DT) classifiers by using a combination method between various extraction features, such as bi-orthogonal wavelet transform, gray level histogram and edge detection. Experiments were conducted on two different databases. The first texture database captured digital images for testing multi-class machining processes, and the second database was collected from the Brodatz album. The results have revealed that RF and DT have yielded higher classification precision.</em></div>
		<br>
		</div>",mohammed majeed razooq,Atexture Classification Using Random Forest And Decision Tree
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>The popularity of java programming is growing continuously, as Java gives an independent, object oriented and multithreaded programming environment.</em><em>[1]</em><em> J2ME (Java 2 Micro Edition) is the Most Ubiquitous Application Platform for Mobile Devices and provides a robust flexible environment for all application running on cell phones and also other embedded devices</em><em>[11]</em><em>[12]</em><em>. </em><em>In this paper an application is develop for mobile phone and PC (Personal Computer), using Java programming language. The main function of this application is to transfer images automatically from mobile phone to PC or laptop and also save these images in computer system memory (Hard Disk), whenever mobile phone detect PC or laptop in its Bluetooth range. The mobile phone app save the PC name in its database as server and sends the images to only that PC while the rest of the PC in its Bluetooth range are ignored plus the mobile app also save the sent images name list so that the images are not send twice to PC. This application has been tested on student’s mobile phones in the university premises and shows a promising results and will also be tested on public mobile devices in future studies.</em></p></div>
		<br>
		</div>","Salman Khan, Hashim Ali, Salman Saleem",Research On Auto Mobile-Pc Upload  Images Application Through  Bluetooth Using Java
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p><em>Graph coloring issue, is one of satisfied existing constraints issues in the literature of artificial intelligence. Coloration apical includes assigning color to node graph so that any two adjacent vertices are isochromatic. The minimum number (colors numbers) that we assign to these graphs for coloring are called number of color. This issue is from the group of very difficult issue, NP – complete. Given the importance of graph coloring issue and its many uses, many algorithms suggested finding allowed coloration in graph. Among these can be noted in, exact algorithms, distributed algorithms, parallel algorithms, approximation algorithms and heuristic algorithms, …The concept of learning Automata at first was introduced by Tstlyn. He was interested in modeling the behavior of biological systems, and definite automata worked in a random environment, introduced as a model for learning. The aim of this research is to present new algorithm on the basis of learning automata to color with accuracy and high speed and the ability to learn graph vertices. The proposed method also has transfer chart and individual performance and this method was examined on the graph with low vertices and high vertices and medium vertices, on the bottom, a number of works steps and total dyes used for coloring of specific graph with optimization algorithms were matched. Evaluation results show high accuracy, speed and its performance of the proposed method is superior to other optimization methods. </em></p></div>
		<br>
		</div>","Susan Khorramdel, Homayoun Motameni, Farhad Ramezani",The Design Of New Learning Automata For Problem Graph Coloring
